PLAYER_NAME,xShot_total,xPoints_total
T.J. McConnell,201.13851482968883,424.8066625520958
Maurice Harkless,174.9941133005232,423.04884925755886
DeAndre Jordan,207.7259285577354,415.4518571154708
Trey Burke,179.30822778273432,415.1280717512975
Romeo Langford,175.98688160908932,412.59411686388097
Timothe Luwawu-Cabarrot,162.36389729522946,412.41393520434747
David Nwaba,185.74176014209093,405.65421865974463
Alex Len,194.12915619047868,402.9422414028654
Robin Lopez,197.98130065399874,399.7581112485168
Moses Moody,158.6703803626887,394.44037741965246
Keifer Sykes,164.78187961069503,392.72064235366577
Saben Lee,175.73626131643593,392.61594709002617
Dennis Smith Jr.,186.9955892938768,392.33758349328093
Ignas Brazdeikis,164.7364103466894,390.42073956560927
Tomas Satoransky,176.85946354466552,389.29089666599646
Derrick Favors,187.125879249193,386.13294810719617
Aaron Nesmith,152.45400206148793,385.38324582718724
Taj Gibson,176.10266433279506,379.93472430405353
Lindy Waters III,135.4928573553569,371.8021073497528
Isaiah Joe,138.1385585209044,369.03728531222157
Tony Snell,137.40972385712342,365.65339707762286
Kelan Martin,154.13809853600074,361.32123380620993
Malachi Flynn,150.16865996357342,360.9582823424694
Day'Ron Sharpe,178.0812337253627,360.94804411125523
Vít Krejčí,145.71544755783427,358.90004830473987
Rajon Rondo,148.4029250325751,355.55517659914597
Thomas Bryant,160.35448853024198,349.51977904207644
Elfrid Payton,168.24584890147895,348.91252122260187
Bismack Biyombo,174.04590868854132,348.09181737708263
Markelle Fultz,164.26055249287768,338.5618668198244
Sterling Brown,135.21036310279968,336.25150253514255
Davon Reed,138.12025553781527,336.217565974118
Zach Collins,153.56073086104186,335.14939507503357
Isaiah Thomas,134.68678226881025,327.4714530271309
Marquese Chriss,155.40095441500154,326.74785625203316
Thanasis Antetokounmpo,155.06087429256792,319.5260042160212
Collin Sexton,143.28773137218536,317.59223145050515
Trent Forrest,148.45276619372132,315.5713717884819
Luka Garza,140.95688657549226,314.70313994577566
Rodney Hood,124.76817519510705,312.212762640741
Goran Dragic,132.7935438114613,308.72811500829226
Moses Brown,152.20042198126822,304.40084396253644
Brandon Goodwin,133.68331857492515,304.18566014271113
Jared Butler,121.19593005189026,302.69112054576755
James Bouknight,133.7363301119675,301.7558002151497
Tony Bradley,149.3595708100235,298.719141620047
Yuta Watanabe,120.93212101671949,297.7974398281765
Brook Lopez,130.29980728231294,297.5605315399652
Elijah Hughes,115.17227988187884,296.5775022135812
Kira Lewis Jr.,128.84967305656738,296.11224060604553
Kent Bazemore,117.77916412308281,292.19045820709204
Santi Aldama,128.06425274165414,289.3802322220613
Jarrett Culver,126.40607385873422,285.6973097732443
Andre Iguodala,112.8856183026395,276.3785489404713
Admiral Schofield,108.5327211931303,271.64909810338247
Killian Tillie,102.71819085059624,266.0603546742047
Matt Thomas,99.83252111361595,262.94975065024965
Joe Harris,98.525090696737,259.38442926677357
Wenyen Gabriel,119.32852533536472,258.88304388265476
Sandro Mamukelashvili,109.4924954238384,254.6592283150907
David Duke Jr.,111.83655964854144,250.34858891266447
Olivier Sarr,113.9874919119974,247.7623584994246
Paul Millsap,111.32245565153171,246.96905883325695
Nick Richards,122.7102002607418,245.4204005214836
Josh Okogie,105.18727039693205,244.1001268711212
Juancho Hernangomez,94.8572880683922,238.41658386438255
Anthony Gill,109.5189131560283,237.38218675121811
Keljin Blevins,92.89575515703153,236.94831234832458
Paul Reed,114.93627521013265,235.0192260007551
Markieff Morris,102.48990011626839,232.49934279664595
Ish Wainright,92.58480655840964,227.40283375455627
Gorgui Dieng,89.45657894100144,225.47265272628013
Miles McBride,87.20424976223413,221.9095120684827
Dylan Windler,85.10780545288812,219.63845557953772
Cody Zeller,106.68276137758467,216.12451445772265
Trevor Ariza,81.12065121075517,215.04560191066244
Nathan Knight,102.57795585491463,214.55901717645065
Patrick Williams,96.91270640324224,214.47241871847658
Enes Freedom,104.9655721659062,213.29027158123756
Kris Dunn,101.12069557319043,209.72709948127627
Michael Porter Jr.,88.21727375778615,208.8588140941988
Semi Ojeleye,86.3554976501797,207.63698394506332
Markus Howard,79.12067238260481,206.78819520289306
PJ Dozier,85.27229229880902,203.56468890986585
Justin Anderson,79.73217161099406,200.52694047190076
Jaylen Hoard,88.17920346494368,193.90295718838763
Gary Clark,69.57681402958465,190.0526638290731
Isaiah Livers,71.71980300691865,188.85869389221253
Justin Robinson,72.77509895471813,186.7561510685191
Kevin Knox II,74.18906360681979,186.03120565926778
Reggie Perry,81.6055304900314,174.43025682294584
Jake Layman,70.10636867312044,165.39703751649571
Chris Chiozza,63.911329927574684,164.5010639461998
Jericho Sims,81.35775555319292,162.71551110638583
Mychal Mulder,62.70421596675403,162.63079376629557
Braxton Key,72.17072859908171,159.32063039411463
KZ Okpala,68.09534752143536,154.70156480615663
Justin Champagnie,67.16406329351132,154.45936828058808
Boban Marjanovic,74.72912745941902,152.20912829194867
Brad Wanamaker,70.19180354231482,151.61339481957694
Frank Kaminsky,69.6630897323319,149.51452995452627
Victor Oladipo,62.55244064646881,149.13489805201078
Georgios Kalaitzakis,64.99803215649533,147.9648253638066
Udoka Azubuike,72.510207322515,145.02041464503
Bruno Fernando,69.2858017518778,139.95720405906786
