PLAYER_NAME,xShot_total,xPoints_total,actual_points,diff
Precious Achiuwa,629.8301213958853,1370.6037291907512,1060,310.6037291907512
Josh Giddey,607.8079568616689,1362.3082897462916,1124,238.30828974629162
Chris Paul,613.0994061296743,1360.7840840247015,1452,-91.21591597529846
Chris Boucher,586.1903766348416,1333.3241587685584,1072,261.3241587685584
Jusuf Nurkić,644.4855430516171,1326.9290774034628,1284,42.92907740346277
Coby White,535.4194054260602,1313.5412315580038,1116,197.5412315580038
KJ Martin,595.8771692362108,1308.671811218788,1116,192.67181121878798
Marcus Morris Sr.,559.2028420472903,1307.9410010598315,1200,107.94100105983148
Chris Duarte,563.666669570299,1306.817012330931,1072,234.817012330931
Cameron Johnson,513.7158693869989,1304.7859939781426,1116,188.78599397814264
Herbert Jones,591.4983503620463,1303.7587402147215,1096,207.75874021472146
Luke Kennard,498.13477319761324,1288.9355884158176,1148,140.93558841581762
Gordon Hayward,559.741294294867,1273.8142655939425,1132,141.81426559394254
Norman Powell,547.3569679630428,1272.7979054463333,1116,156.7979054463333
Jaden McDaniels,538.3309904281747,1257.5361085476397,1020,237.53610854763974
Paul George,538.8834343938888,1256.7552393752408,1072,184.75523937524076
Jeff Green,561.4624148409288,1242.732886643335,1108,134.73288664333495
Kyle Lowry,488.65218758343855,1234.9002348697902,1104,130.9002348697902
Deni Avdija,523.3174925953498,1225.8080804237482,1000,225.80808042374815
Chuma Okeke,481.6721583930105,1222.1214522667408,864,358.1214522667408
Al Horford,515.2380629218968,1214.6657680095323,1064,150.66576800953226
Josh Hart,533.521381979735,1213.738790467813,1148,65.73879046781303
Cedi Osman,483.53561696919724,1213.2159241226616,988,225.2159241226616
Ivica Zubac,601.8342202869371,1203.6684405738742,1240,-36.33155942612575
Grayson Allen,465.73549094358043,1201.996827014331,1020,181.99682701433107
Max Strus,446.5749958207124,1197.6470730720437,996,201.64707307204367
P.J. Washington,492.7465241004227,1193.5839495112966,1000,193.58394951129662
Kyrie Irving,514.8570484423428,1193.421604371634,1156,37.421604371633975
De'Andre Hunter,523.5540626235481,1185.5149936499006,1016,169.5149936499006
Trey Lyles,520.0334593459153,1183.8857770173124,1048,135.88577701731242
Ayo Dosunmu,520.4215351660534,1175.016366427164,1112,63.01636642716403
Obi Toppin,527.301166085538,1174.6219479135545,1004,170.62194791355455
Tre Mann,493.157018526201,1171.0293214096516,924,247.02932140965163
Cameron Payne,512.8191934156886,1170.0176856004625,960,210.01768560046253
Gary Harris,476.58273828064466,1169.7639158062652,960,209.76391580626523
Danilo Gallinari,483.1746620924788,1167.3852158806753,1036,131.38521588067533
Bones Hyland,462.4716298227375,1167.077100693144,920,247.07710069314408
Georges Niang,448.35136799447196,1166.9979518934756,984,182.9979518934756
Alperen Sengun,539.847743523741,1155.8222377429884,996,159.82223774298836
Oshae Brissett,492.89499872723025,1153.12590548918,832,321.12590548918
Jalen Suggs,508.1418115962619,1149.3402655549232,792,357.34026555492323
Hamidou Diallo,539.2411766919888,1143.782212687237,1044,99.782212687237
Klay Thompson,469.52071110347345,1143.2797164796696,984,159.27971647966956
Eric Gordon,470.7762779543543,1141.0958325159568,1072,69.09583251595677
Ben McLemore,422.129563375942,1136.6360392661695,864,272.6360392661695
Talen Horton-Tucker,502.9752620987807,1130.9692539677048,896,234.96925396770484
Bruce Brown,530.9644608899595,1130.2222511965183,1024,106.2222511965183
Malcolm Brogdon,496.8436452263524,1122.5748252669841,972,150.57482526698413
Daniel Gafford,559.9517664339741,1120.544884550103,1140,-19.455115449896994
JaVale McGee,552.6293717601098,1111.3575364923604,1152,-40.642463507639604
Jae Crowder,424.1480568990961,1102.5286552667603,868,234.52865526676032
Corey Kispert,438.10827610178364,1097.378019996627,936,161.37801999662702
Terrence Ross,458.61862478995397,1095.6204442321846,880,215.62044423218458
Naz Reid,489.0371793872144,1093.979836820988,932,161.9798368209881
Isaiah Stewart,529.1864032443568,1089.79986169963,1000,89.7998616996299
Damian Lillard,449.6019069753407,1085.542678791481,888,197.54267879148097
Tim Hardaway Jr.,437.9881973804897,1084.1209510947494,836,248.12095109474944
Josh Christopher,477.27051817560215,1083.3133841747854,896,187.31338417478537
Dwight Powell,528.0041714177655,1081.5868145409215,1076,5.586814540921523
Andre Drummond,538.6076360139762,1078.0173513057,988,90.0173513057
Dillon Brooks,485.91161788204505,1075.180929288356,908,167.18092928835608
Josh Richardson,450.5925906589387,1069.1495920679033,936,133.1495920679033
Jonathan Kuminga,482.89248790817925,1069.1433889196956,944,125.14338891969555
Reggie Bullock Jr.,393.6771684423169,1068.9626278318726,804,264.9626278318726
Robert Covington,416.19152901853397,1067.3317159100309,836,231.33171591003088
Pat Connaughton,403.4498048882821,1063.3642348167698,908,155.3642348167698
Tyus Jones,460.2333666678465,1063.3580087426487,996,67.35800874264874
Bryn Forbes,424.187396525431,1053.1808933948664,924,129.18089339486642
Robert Williams III,520.9546706123365,1042.5618804720884,1084,-41.43811952791157
Gabe Vincent,408.85660045581164,1038.294732794992,856,182.2947327949919
Brandon Clarke,510.68670094670324,1037.5302779583385,1152,-114.4697220416615
Landry Shamet,393.6719802035866,1021.2691839263293,764,257.26918392632933
Mitchell Robinson,510.4837145266849,1020.9674290533698,1044,-23.032570946630244
Chimezie Metu,442.5648296847024,1015.8384625698294,812,203.8384625698294
Isaac Okoro,447.4025779896286,1010.2421130111574,828,182.24211301115736
Jaxson Hayes,483.0148610679077,1005.5044125961789,980,25.504412596178895
Frank Jackson,405.66752645098785,1004.9024486735767,776,228.9024486735767
Kyle Anderson,458.45585281726363,994.6844763691917,836,158.68447636919166
Aleksej Pokusevski,427.4897573895916,990.3469186165202,744,246.34691861652016
Doug McDermott,404.56236297964807,988.1521527198187,860,128.15215271981867
Amir Coffey,402.4552717814994,983.2625203750648,844,139.2625203750648
Marvin Bagley III,457.2679459296644,982.8901467773812,900,82.89014677738123
Furkan Korkmaz,399.6941594050972,981.876936994923,728,253.87693699492297
Jarred Vanderbilt,484.130877602462,978.4556153800567,848,130.45561538005666
Cam Thomas,426.98847087791614,975.3412840715326,872,103.34128407153264
Garrison Mathews,354.33048232306993,971.0563053326968,736,235.05630533269675
Torrey Craig,402.267959068202,969.822853770956,800,169.82285377095604
Royce O'Neale,373.88912454731906,959.660071574875,812,147.66007157487502
Jordan Nwora,399.30656416442747,957.0337047744857,744,213.03370477448573
Cody Martin,420.6297567246532,956.236560225829,816,140.23656022582895
Ziaire Williams,388.98019972574104,951.861883455973,764,187.86188345597304
Grant Williams,380.2291714024226,945.3726601809084,820,125.37266018090838
R.J. Hampton,409.36725119897557,944.126527255168,700,244.12652725516796
Killian Hayes,413.20116436045663,943.5168137188973,704,239.5168137188973
Eric Bledsoe,412.93729217473197,936.8950585034878,788,148.8950585034878
Caleb Martin,412.172392071836,934.606446012421,832,102.60644601242097
Moritz Wagner,395.8773621925614,929.4480625378656,788,141.44806253786555
P.J. Tucker,389.23033290633947,922.0187427563893,828,94.01874275638932
Kevon Looney,458.5900458643415,917.8792611123819,832,85.87926111238187
LaMarcus Aldridge,434.64885571670004,901.5320872943153,1008,-106.46791270568474
Steven Adams,449.3729373305416,899.1757490448008,840,59.175749044800796
Duane Washington Jr.,373.18069831804166,897.7888716492602,692,205.78887164926016
Patrick Beverley,360.72110301041045,892.0649729188809,708,184.06497291888093
Otto Porter Jr.,370.67674686083427,891.4268365197192,772,119.42683651971925
Drew Eubanks,437.4457872694104,890.7564809166323,884,6.756480916632313
Raul Neto,397.7726150814127,876.7364578999789,816,60.73645789997886
Isaiah Hartenstein,422.76026668168794,866.0168313940421,916,-49.98316860595787
Gary Payton II,385.36482394965054,856.7517481180149,848,8.751748118014916
Myles Turner,365.29021178812957,856.4547611172227,800,56.45476111722269
Cam Reddish,360.2203158242042,849.5370534418429,660,189.5370534418429
Mason Plumlee,423.94620316949687,848.5962781612794,820,28.59627816127943
Jaylen Nowell,367.7446205635759,846.9596450916273,784,62.959645091627294
Ricky Rubio,359.1666585239845,838.7765481826576,596,242.77654818265762
Taurean Prince,334.05255306216065,831.3834693906092,708,123.3834693906092
Nicolas Batum,319.18114533786917,828.7189635851009,716,112.71896358510094
Ish Smith,388.12359420618037,821.8428463974274,740,81.84284639742737
Hassan Whiteside,406.46800611883424,812.9360122376685,860,-47.06398776233152
Shake Milton,357.0766384015548,804.8664963929007,692,112.86649639290067
Damion Lee,334.5914053887352,800.5741464146839,676,124.57414641468392
JaMychal Green,357.1252201230358,800.1966282205887,636,164.19662822058865
Cory Joseph,345.7567585592042,798.6828458709936,712,86.68284587099356
Lonzo Ball,309.063782808613,798.2048894527661,648,150.2048894527661
Javonte Green,360.719032122688,795.1175085600902,704,91.11750856009019
Rudy Gay,326.8696354396726,794.737232443824,628,166.73723244382404
Jalen Smith,352.63098794782604,790.9616199262642,704,86.96161992626423
Rui Hachimura,349.949304101021,786.1266132272708,748,38.12661322727081
Maxi Kleber,295.2732318057289,766.2078341989841,564,202.20783419898407
Matisse Thybulle,324.8143158087607,752.41864499645,600,152.41864499644998
Payton Pritchard,292.4068560073004,751.3226883555737,640,111.32268835557375
Avery Bradley,295.4345144836266,743.6353990771495,592,151.6353990771495
Austin Rivers,289.22551903354065,742.4604865714766,584,158.46048657147662
Isaiah Roby,335.9970050237009,739.897362690327,664,75.89736269032699
Aaron Wiggins,319.1462933303793,735.0902660575119,624,111.09026605751194
Willy Hernangomez,363.155003145747,734.1735046587564,680,54.17350465875643
Kemba Walker,298.8864973318957,734.0346470886236,596,138.03464708862361
Jeremiah Robinson-Earl,300.7316785199325,716.6844355804227,536,180.6844355804227
DeMarcus Cousins,315.8340409999696,713.7552053849704,596,117.7552053849704
Lamar Stevens,333.36850398076683,713.7134042547992,624,89.71340425479923
Nassir Little,301.0952452280105,709.646727410175,580,129.646727410175
Richaun Holmes,352.4226688806839,708.2297384508141,792,-83.77026154918588
Nic Claxton,353.0071251486939,706.0142502973878,712,-5.985749702612225
Nemanja Bjelica,303.7683796026928,705.7905953321363,640,65.79059533213626
Donte DiVincenzo,274.71414431188435,701.2342552304734,472,229.23425523047342
Kenrich Williams,305.0171090964957,694.193443023427,584,110.193443023427
Tre Jones,329.6724326864345,693.766791053382,664,29.766791053382008
Daniel Theis,308.9796293911468,692.1308746589998,604,88.1308746589998
James Johnson,315.8450252822697,691.6711113323165,576,115.67111133231651
Blake Griffin,294.96090287776616,690.8363480312605,532,158.8363480312605
Danny Green,245.95403019405362,687.076807465901,504,183.07680746590097
Dewayne Dedmon,325.3775164464555,682.039663768921,656,26.039663768920946
Jeremy Lamb,282.84826647099686,681.8859174750839,532,149.88591747508394
Brandon Boston,300.1065405343469,675.9166458751085,500,175.91664587510854
CJ Elleby,292.93708227009273,674.7750312506688,484,190.7750312506688
Austin Reaves,276.6959895290748,669.2890101771868,584,85.28901017718681
Aaron Holiday,299.306930068003,668.3227938202753,604,64.32279382027525
Damian Jones,315.36225012106087,650.2552110512468,700,-49.74478894875324
Ty Jerome,261.188511956116,649.2471606705293,496,153.2471606705293
Theo Maledon,272.1279198060054,647.2972666440716,476,171.29726664407156
Josh Jackson,274.7542098159318,639.231120669451,480,159.231120669451
Lance Stephenson,288.3143922951521,637.989776688951,588,49.989776688951
Garrett Temple,247.3592325434565,626.4563131971887,444,182.4563131971887
Serge Ibaka,278.7534919097523,624.5010499684174,592,32.50104996841742
Facundo Campazzo,246.66841486406574,623.496726156888,428,195.49672615688803
Kelly Olynyk,263.5972015204224,607.5731872264641,512,95.57318722646414
Lou Williams,266.5662127020599,605.2532470462647,500,105.25324704626473
Jose Alvarado,262.48905584612595,601.1490432657095,524,77.14904326570945
Trey Murphy III,235.29613477584533,600.5176511163194,436,164.51765111631937
Keita Bates-Diop,279.7120564480836,598.3885530600664,544,54.38855306006644
Thaddeus Young,281.41043779797167,597.3110343126754,564,33.31103431267536
Kessler Edwards,249.24158915495477,595.3934503542293,440,155.39345035422934
Tristan Thompson,296.085794744873,593.3783537001578,564,29.378353700157845
Armoni Brooks,212.30248470520013,592.4356804739122,392,200.43568047391216
