Squad,Comp,Team_or_Opponent,PrgP,Final_Third,Cmp_percent_Total,Cmp_Short,Cmp_percent_Short,Cmp_Medium,Cmp_percent_Medium,Cmp_Long,Cmp_percent_Long,xAG,xA_Expected,Poss,Touches_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Carries_Carries,PrgDist_Carries,Final_Third_Carries,CPA_Carries,Succ_Take,Tkl_Tackles,TklW_Tackles,Int,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl+Int,Sh_Blocks,Pass_Blocks,Clr,SCA_SCA,SCA90_SCA,PassLive_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Sh_per_90_Standard,SoT_per_90_Standard,SoT_percent_Standard,G_per_Sh_Standard,G_per_SoT_Standard,xG_Expected,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Recov,Won_percent_Aerial,Fls,Att,Live_Pass,TB_Pass,Sw_Pass,Cluster,Cluster_Name,PCA1,PCA2
Celta Vigo,La Liga,team,1659,1424,83.7,7549,90.2,8368,89.7,1480,58.7,38.4,36.9,53.6,25123,7618,12133,5574,831,15010,39392,500,218,254,555,340,282,258,217,80,837,91,254,828,789,20.76,607,42,57,30,12,98,2.58,77,1,5,8,7,0,11.63,4.39,37.8,0.11,0.3,54.2,0.11,3.8,2.7,1532,46.1,462,21253,19376,89,149,6,Efficient Attackers,3.8724803728743917,-1.0580342636412279
Chelsea,Premier League,team,1595,1488,84.6,8067,91.6,8244,90.4,1369,53.7,52.7,41.8,57.1,25217,7564,11375,6497,1115,14501,41394,493,317,326,588,371,272,243,244,101,860,103,253,695,1061,27.92,811,58,70,39,23,109,2.87,75,5,9,9,7,4,15.53,5.34,34.4,0.1,0.28,67.8,0.11,-6.8,-6.8,1577,50.8,436,21320,19613,79,95,6,Efficient Attackers,6.8822443585659565,2.2642672354399513
Como,Serie A,team,1377,1150,83.0,7607,91.1,6561,88.8,1286,54.5,36.6,30.8,54.6,23246,7668,10461,5315,791,14108,35128,463,202,264,663,412,279,301,260,102,942,91,257,788,920,24.21,673,44,66,40,13,79,2.08,66,2,5,3,1,2,13.66,4.63,33.9,0.08,0.25,45.4,0.09,-1.4,0.1,1547,49.2,503,19183,17335,52,93,3,Defensive Stability First,1.23791724411888,2.1917642374914164
Crystal Palace,Premier League,team,1158,886,75.4,5198,85.5,5285,83.7,1137,44.7,46.4,36.6,42.8,20389,7689,8441,4456,797,10275,25304,354,126,209,767,450,334,374,299,94,1101,144,341,1088,877,23.08,633,33,71,48,16,89,2.34,60,8,6,8,6,1,13.47,4.61,34.2,0.09,0.26,60.4,0.11,-11.4,-11.3,1698,44.6,417,15754,14066,71,59,1,Balanced Attackers,-3.086890382767368,5.825697014500932
Dortmund,Bundesliga,team,1563,1348,84.0,7783,91.2,7542,90.0,1403,57.0,47.4,50.4,58.9,24214,6972,11525,5921,916,14567,36951,522,219,341,523,319,249,232,196,95,772,100,275,726,857,25.21,628,72,58,26,15,123,3.62,88,4,13,8,5,5,14.06,4.62,32.8,0.13,0.41,61.2,0.12,7.8,7.5,1480,53.1,330,20321,18695,67,93,6,Efficient Attackers,6.786986862191635,-2.4117445551495442
Eint Frankfurt,Bundesliga,team,1347,1033,81.3,6627,90.4,5810,87.0,1094,49.8,45.2,43.6,49.7,21315,7332,9549,4619,871,12239,29809,428,188,293,566,341,287,267,219,80,853,128,297,994,849,24.97,594,57,77,36,20,115,3.38,67,8,17,13,5,5,14.12,5.06,35.8,0.14,0.38,65.1,0.13,2.9,3.6,1486,51.7,341,17138,15585,48,64,1,Balanced Attackers,2.9909840816964612,-0.8665517780126797
Empoli,Serie A,team,1013,799,72.5,4015,82.9,4558,82.1,1180,45.0,22.9,19.4,41.7,18255,6509,8088,3861,562,8486,20518,284,102,212,689,396,323,314,293,82,1012,136,260,1072,638,16.79,452,41,35,39,18,51,1.34,35,4,5,4,2,1,9.66,2.82,29.2,0.08,0.27,32.5,0.08,-1.5,-1.1,1480,44.8,570,13916,11976,34,71,0,Possession Builders,-8.358519150139653,1.9954716587096752
Espanyol,La Liga,team,1000,772,75.6,4245,85.9,4814,84.8,1297,49.3,24.5,23.4,39.8,18406,7408,7625,3582,548,9361,28280,359,109,221,640,397,315,380,210,50,955,155,280,1131,632,16.63,431,36,35,45,12,68,1.79,41,8,3,5,10,1,9.24,2.58,27.9,0.09,0.34,34.4,0.09,3.6,2.5,1364,49.4,498,13996,12245,51,97,0,Possession Builders,-6.927257666860634,-0.5268911580349995
Everton,Premier League,team,1041,1003,76.3,5039,86.7,4604,84.5,1526,52.6,32.2,27.2,40.9,19408,6930,7927,4762,732,9535,25414,364,119,283,732,433,345,366,269,97,1077,138,254,1088,713,18.76,530,44,31,31,12,68,1.79,46,4,6,4,5,3,10.63,3.66,34.4,0.09,0.27,41.8,0.1,-2.8,-3.2,1524,52.1,430,14953,13245,30,83,0,Possession Builders,-4.618884943038244,2.9878190176861277
Fiorentina,Serie A,team,1240,984,81.1,5771,89.1,6566,87.5,1565,57.3,35.1,27.4,51.0,21431,7306,9857,4479,671,12538,32278,479,164,270,531,313,275,267,195,69,806,123,230,911,799,21.03,579,51,50,45,15,100,2.63,65,8,9,10,8,0,11.55,4.37,37.8,0.12,0.31,48.9,0.1,9.1,9.4,1436,51.1,440,17510,15677,27,99,9,Solid Mid-Block Teams,0.664272906722315,-3.146766921555053
