Squad,Comp,Team_or_Opponent,PrgP,Final_Third,Cmp_percent_Total,Cmp_Short,Cmp_percent_Short,Cmp_Medium,Cmp_percent_Medium,Cmp_Long,Cmp_percent_Long,xAG,xA_Expected,Poss,Touches_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Carries_Carries,PrgDist_Carries,Final_Third_Carries,CPA_Carries,Succ_Take,Tkl_Tackles,TklW_Tackles,Int,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl+Int,Sh_Blocks,Pass_Blocks,Clr,SCA_SCA,SCA90_SCA,PassLive_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Sh_per_90_Standard,SoT_per_90_Standard,SoT_percent_Standard,G_per_Sh_Standard,G_per_SoT_Standard,xG_Expected,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Recov,Won_percent_Aerial,Fls,Att,Live_Pass,TB_Pass,Sw_Pass
Espanyol,La Liga,opponent,1821,1501,83.4,8341,91.0,7778,88.3,1534,57.0,39.6,41.3,60.2,25692,6559,12682,6675,1016,15118,44099,604,195,300,507,309,292,234,209,64,799,97,249,773,1024,26.95,757,51,61,49,18,92,2.42,64,4,11,5,7,1,14.76,4.89,33.2,0.08,0.25,53.8,0.09,-3.8,-3.0,1576,50.6,457,21580,19688,49,143
Everton,Premier League,opponent,1627,1368,83.0,8349,90.8,7862,88.6,1365,52.0,34.6,34.2,59.1,25864,8222,11641,6229,931,15106,42431,520,195,318,695,424,235,322,276,97,930,103,246,924,846,22.26,624,45,60,29,14,74,1.95,58,2,5,5,1,3,12.58,4.24,33.7,0.09,0.27,46.2,0.1,-2.2,-0.6,1565,47.9,395,21623,19822,68,106
Fiorentina,Serie A,opponent,1277,1034,80.4,6068,88.2,6133,87.0,1359,53.8,30.5,30.2,49.0,21017,6702,9865,4642,739,12226,34823,429,148,240,560,316,237,260,222,78,797,111,238,770,767,20.18,562,45,43,44,13,65,1.71,51,2,6,3,2,1,11.58,3.82,33.0,0.09,0.27,42.8,0.09,-2.8,-1.4,1359,48.9,588,17215,15466,33,91
Freiburg,Bundesliga,opponent,1182,1060,80.6,6283,88.0,6186,87.5,1336,54.6,30.7,36.4,51.3,21416,7469,9517,4592,727,12223,27259,354,120,222,496,298,260,205,211,80,756,122,275,916,753,22.15,543,40,52,32,23,93,2.74,57,6,12,11,5,2,12.59,4.29,34.1,0.12,0.34,42.4,0.09,9.6,10.6,1404,50.5,345,17514,16046,35,83
Fulham,Premier League,opponent,1396,1144,81.3,6948,90.2,6126,86.8,1212,51.1,34.4,30.0,47.7,22348,7282,10037,5271,825,12382,35170,459,180,276,535,306,336,237,226,72,871,148,275,995,756,19.89,519,55,41,56,9,90,2.37,64,7,5,7,5,2,11.29,4.08,36.1,0.11,0.32,47.2,0.11,4.8,4.9,1585,50.0,371,18069,16368,75,96
Genoa,Serie A,opponent,1375,1084,80.3,6398,88.1,6966,87.2,1456,54.3,33.9,33.2,54.4,23029,7364,10399,5459,832,13102,31780,484,166,283,549,326,284,230,255,64,833,98,269,854,853,22.45,642,39,46,41,6,79,2.08,60,5,4,7,3,0,12.42,3.95,31.8,0.08,0.27,47.2,0.09,-1.2,-1.1,1521,51.1,478,18823,16947,38,83
Getafe,La Liga,opponent,1284,997,76.4,6043,86.8,6205,83.9,1371,47.5,31.3,28.0,58.2,22942,8144,10481,4497,630,11645,30057,343,123,332,669,391,282,357,248,64,951,127,224,1230,647,17.03,473,34,30,36,6,68,1.79,49,4,3,5,7,0,9.53,3.08,32.3,0.09,0.26,46.2,0.11,-7.2,-8.4,1419,48.9,529,18284,16088,52,111
Girona,La Liga,opponent,1183,1070,82.0,6108,91.0,6052,88.1,1281,53.1,36.5,33.6,43.7,20788,7034,8948,5006,779,11640,29907,402,202,265,588,348,277,291,199,98,865,108,273,911,785,20.66,575,54,40,33,22,99,2.61,72,6,5,9,4,3,11.84,4.16,35.1,0.12,0.35,50.4,0.1,8.6,10.3,1414,51.7,460,16818,15144,40,84
Gladbach,Bundesliga,opponent,1520,1151,81.1,6579,88.8,6307,86.6,1235,55.0,45.2,51.9,50.4,21784,5968,9969,6055,1000,11945,30982,463,171,233,500,303,302,203,222,75,802,112,324,787,1020,30.0,760,46,78,42,10,91,2.68,53,7,7,16,6,2,16.97,5.38,31.7,0.08,0.26,63.4,0.1,-8.4,-9.0,1462,47.2,338,17850,16292,48,67
Heidenheim,Bundesliga,opponent,1620,1319,81.6,7266,89.2,6849,87.3,1348,54.9,43.1,46.5,56.5,23335,6152,11630,5773,847,13152,34543,489,154,264,490,303,243,189,231,70,733,99,298,813,832,24.47,626,53,42,36,6,120,3.53,93,5,5,10,7,0,13.35,4.85,36.3,0.13,0.35,57.6,0.12,6.4,5.0,1527,53.9,405,19390,17744,69,66
