Squad,Comp,Team_or_Opponent,PrgP,Final_Third,Cmp_percent_Total,Cmp_Short,Cmp_percent_Short,Cmp_Medium,Cmp_percent_Medium,Cmp_Long,Cmp_percent_Long,xAG,xA_Expected,Poss,Touches_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Carries_Carries,PrgDist_Carries,Final_Third_Carries,CPA_Carries,Succ_Take,Tkl_Tackles,TklW_Tackles,Int,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl+Int,Sh_Blocks,Pass_Blocks,Clr,SCA_SCA,SCA90_SCA,PassLive_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Sh_per_90_Standard,SoT_per_90_Standard,SoT_percent_Standard,G_per_Sh_Standard,G_per_SoT_Standard,xG_Expected,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Recov,Won_percent_Aerial,Fls,Att,Live_Pass,TB_Pass,Sw_Pass
Montpellier,Ligue 1,opponent,1461,1104,84.5,7001,91.0,6243,88.7,1132,59.7,44.1,43.4,54.7,21377,5927,10462,5175,876,12486,34613,471,173,298,598,366,280,263,230,105,878,103,223,858,931,27.38,667,51,65,39,27,132,3.88,92,6,12,12,6,4,15.38,5.44,35.4,0.13,0.37,63.3,0.11,12.7,11.9,1412,54.2,463,17484,15960,49,66
Monza,Serie A,opponent,1599,1363,82.9,6693,89.4,7045,89.1,1509,58.3,41.7,36.2,51.5,22691,5883,11026,5982,904,12838,34494,542,186,229,561,336,225,206,257,98,786,77,235,768,1020,26.84,748,53,59,57,11,124,3.26,91,10,9,7,6,1,14.82,4.71,31.8,0.11,0.36,54.7,0.09,11.3,12.4,1505,51.6,564,18811,17102,47,89
Nantes,Ligue 1,opponent,1728,1412,85.4,8261,91.3,7932,90.4,1355,59.8,39.3,47.8,59.6,24836,6721,12086,6215,872,14536,38972,482,175,244,564,350,221,299,191,74,785,92,224,857,771,22.68,583,29,47,40,7,87,2.56,66,3,2,7,9,0,12.32,4.15,33.7,0.1,0.3,55.5,0.12,-6.5,-7.3,1422,50.8,409,21062,19434,28,113
Napoli,Serie A,opponent,1142,990,81.0,5916,89.5,6133,87.6,1303,52.3,21.7,24.1,45.4,20770,6906,9530,4543,584,11837,30835,445,103,211,612,366,330,300,238,74,942,160,286,845,643,16.92,491,27,31,36,11,43,1.13,35,0,2,3,2,1,9.47,2.45,25.8,0.07,0.26,29.6,0.07,-4.6,-2.3,1445,46.5,470,16831,15220,26,103
Newcastle Utd,Premier League,opponent,1273,1170,80.3,7047,90.9,5735,86.6,1213,47.5,35.9,31.6,48.7,22228,7157,9564,5732,888,12457,33229,474,223,298,736,433,301,327,298,111,1037,150,312,893,832,21.89,616,48,54,33,16,79,2.08,63,5,4,1,4,2,12.39,4.18,33.8,0.09,0.28,45.5,0.1,-0.5,0.0,1634,48.9,464,17858,16153,71,73
Nice,Ligue 1,opponent,1314,1131,82.6,6652,90.3,6581,89.0,1196,52.7,31.2,33.6,52.5,21769,6781,10019,5194,738,12118,30830,468,149,237,661,449,312,285,288,88,973,121,269,774,814,23.94,601,32,52,36,19,73,2.15,59,3,3,5,3,0,13.41,4.65,34.6,0.08,0.24,40.2,0.09,-0.2,0.0,1533,48.5,432,17860,16268,38,67
Nott'ham Forest,Premier League,opponent,1886,1483,82.2,7747,89.4,7609,87.7,1251,52.4,35.2,36.5,58.8,24861,6917,11116,7047,1068,14317,48375,599,245,327,557,365,265,252,211,94,822,122,234,896,941,24.76,698,67,51,26,10,80,2.11,55,4,9,8,3,1,13.89,4.26,30.7,0.08,0.27,48.9,0.09,-2.9,-3.5,1545,49.5,434,20627,18867,45,87
Osasuna,La Liga,opponent,1546,1251,80.7,6895,89.7,6578,86.7,1433,53.0,40.7,43.2,53.9,23180,7397,10374,5622,821,12868,36262,491,168,307,572,385,250,297,206,69,822,104,273,981,843,22.18,623,54,33,53,16,89,2.34,73,1,3,3,8,1,12.13,4.74,39.0,0.1,0.24,53.7,0.11,-2.7,-4.3,1532,45.5,405,18864,16877,89,123
Paris S-G,Ligue 1,opponent,874,651,77.6,4500,87.0,3518,84.5,963,52.0,22.7,22.0,32.0,15926,6411,6303,3420,561,8255,20700,318,125,282,722,454,338,419,233,70,1060,142,278,740,537,15.79,383,36,36,21,12,56,1.65,35,6,5,5,5,0,9.09,2.94,32.4,0.1,0.31,31.2,0.1,2.8,2.0,1521,45.0,360,12016,10625,39,71
Parma,Serie A,opponent,1761,1337,82.3,7039,89.6,7622,89.0,1435,55.7,41.7,34.5,55.8,23755,7107,10907,5980,943,14164,43161,573,209,242,573,354,279,293,216,64,852,112,218,739,986,25.95,772,40,60,34,12,97,2.55,72,5,2,11,7,0,14.13,4.03,28.5,0.09,0.33,56.4,0.1,-0.4,-1.6,1558,50.1,483,19940,18184,57,117
RB Leipzig,Bundesliga,opponent,1275,1007,78.4,5968,87.2,5425,85.7,1308,52.6,38.8,49.2,47.8,20820,6842,9156,4982,889,10832,25250,354,154,267,572,329,298,249,241,82,870,111,332,869,887,26.09,627,52,74,41,14,85,2.5,59,4,6,10,3,3,14.62,4.56,31.2,0.09,0.3,53.3,0.11,-5.3,-5.0,1543,47.8,344,16691,15060,50,76
Rayo Vallecano,La Liga,opponent,1326,1064,76.5,5660,87.3,5397,84.1,1412,49.0,33.0,33.7,48.3,21249,7416,9160,4906,774,10729,31944,434,161,355,631,398,314,284,263,84,945,128,337,1004,841,22.13,577,59,44,49,21,82,2.16,60,6,8,3,5,0,12.13,3.82,31.5,0.08,0.26,49.0,0.09,-5.0,-4.7,1600,52.7,422,16724,14603,55,139
Real Madrid,La Liga,opponent,1168,1034,81.7,6427,91.0,4989,87.2,1218,53.5,32.0,27.3,39.6,19910,7172,8356,4578,643,11509,31994,470,160,222,674,408,333,401,183,90,1007,171,283,824,717,18.87,549,32,44,28,11,64,1.68,46,6,3,6,3,0,10.58,3.24,30.6,0.08,0.28,42.8,0.11,-5.8,-6.8,1467,44.4,534,15895,14331,40,120
Real Sociedad,La Liga,opponent,1141,1061,77.0,5620,87.6,5326,84.5,1400,50.1,29.0,31.9,46.2,20816,7200,8796,5046,752,10345,25476,384,168,271,604,377,292,306,219,79,896,99,302,1003,743,19.55,532,38,43,44,14,76,2.0,56,3,3,10,4,0,11.37,3.55,31.3,0.09,0.3,43.9,0.09,2.1,2.7,1530,51.2,446,16415,14418,54,115
Reims,Ligue 1,opponent,1636,1338,83.4,7076,91.0,6968,89.0,1181,53.6,40.5,41.6,55.9,22485,6180,10380,6116,936,12935,36523,521,187,266,616,371,270,283,233,100,886,122,210,823,877,25.79,659,49,61,26,13,81,2.38,53,7,5,11,5,0,14.59,5.12,35.1,0.09,0.25,57.4,0.11,-10.4,-10.5,1457,53.2,391,18726,17172,67,82
Rennes,Ligue 1,opponent,1144,894,81.1,5958,89.2,5754,87.9,1217,53.5,33.7,32.5,49.1,20140,6943,9019,4349,697,11095,28097,365,162,214,671,411,356,333,241,97,1027,111,265,774,663,19.5,506,29,40,19,16,86,2.53,65,4,6,6,3,2,10.88,3.88,35.7,0.12,0.34,46.0,0.11,2.0,3.6,1482,47.0,412,16323,14708,51,107
Roma,Serie A,opponent,1278,1065,81.7,5861,88.5,6692,88.3,1355,55.9,26.7,24.5,46.1,21195,7476,9356,4564,677,11917,33211,479,161,215,549,328,261,278,202,69,810,150,248,838,757,19.92,563,43,45,35,7,53,1.39,33,6,2,7,5,0,11.5,3.87,33.6,0.07,0.2,40.9,0.09,-6.9,-7.7,1436,51.9,507,17333,15720,38,75
Saint-Étienne,Ligue 1,opponent,1467,1117,83.4,7107,90.5,6180,88.0,1405,61.5,47.2,46.1,52.9,21882,6492,10179,5407,980,12700,34226,481,235,298,603,402,317,302,199,102,920,104,236,634,934,27.47,662,50,81,41,23,120,3.53,79,5,8,14,11,3,15.76,5.71,36.2,0.12,0.32,74.3,0.12,0.7,-0.3,1544,53.0,387,18133,16515,67,158
Sevilla,La Liga,opponent,1262,1122,79.5,6318,88.2,6361,86.3,1337,50.8,34.0,31.7,49.5,22206,7100,10193,5095,670,12283,31116,423,139,251,651,375,283,306,260,85,934,110,275,890,731,19.24,531,41,38,42,10,97,2.55,72,4,5,6,10,0,10.76,3.74,34.7,0.12,0.35,47.4,0.11,6.6,6.3,1409,45.4,433,17994,16003,62,132
Southampton,Premier League,opponent,1647,1359,84.2,7944,90.9,7112,89.6,1153,53.6,63.0,50.1,51.5,23778,6772,9944,7291,1264,13724,37999,548,300,304,688,405,311,257,294,137,999,124,235,753,1207,31.76,870,72,92,51,38,144,3.79,94,12,11,14,7,6,17.68,6.21,35.1,0.12,0.33,84.8,0.12,1.2,1.1,1635,47.4,435,19683,18108,73,70
St. Pauli,Bundesliga,opponent,1388,1241,82.1,6968,89.3,7301,88.2,1407,56.9,35.0,37.8,55.8,23319,6856,12047,4560,704,12880,31468,352,117,245,463,275,244,214,196,53,707,125,255,908,691,20.32,505,40,38,33,9,69,2.03,45,5,10,5,2,2,11.03,3.97,36.0,0.1,0.29,45.4,0.11,-5.4,-2.5,1351,55.2,367,19511,17842,58,86
Strasbourg,Ligue 1,opponent,1361,1068,82.3,6261,90.2,6372,89.0,1305,55.5,39.1,40.9,49.9,20748,6897,9204,4819,823,11921,27519,395,164,202,567,366,312,247,217,103,879,90,234,612,812,23.88,636,30,46,29,19,67,1.97,44,2,2,9,7,3,13.18,4.71,35.7,0.08,0.21,56.1,0.11,-14.1,-15.3,1517,48.9,435,17314,15791,56,117
Stuttgart,Bundesliga,opponent,1023,811,77.4,4970,86.7,4936,85.4,1179,50.5,33.8,35.2,42.8,18607,6977,7887,3903,669,9866,22980,320,128,222,584,347,303,298,231,55,887,125,254,887,671,19.74,475,38,40,37,8,80,2.35,49,8,6,13,3,1,11.35,3.91,34.5,0.13,0.38,46.9,0.12,5.1,5.5,1435,48.9,428,14746,13145,50,54
Torino,Serie A,opponent,1346,1207,82.0,6533,89.8,6923,88.1,1587,56.0,34.7,31.3,52.5,22649,7542,9869,5453,868,13393,33178,478,177,205,508,293,289,219,218,71,797,115,219,887,926,24.37,688,35,71,31,22,75,1.97,50,6,5,7,5,2,13.74,4.55,33.1,0.08,0.23,50.4,0.09,-7.4,-4.9,1407,51.2,413,18718,16969,53,100
Tottenham,Premier League,opponent,1330,1057,79.3,6060,88.5,5408,86.6,1301,51.9,46.3,37.6,45.3,21039,7305,8457,5517,994,11514,29730,417,220,302,851,548,391,402,336,113,1242,137,372,903,903,23.76,656,60,70,30,15,110,2.89,78,8,8,9,4,3,13.66,4.66,34.1,0.11,0.33,63.3,0.12,-2.3,-2.9,1652,50.9,494,16529,14781,63,100
Toulouse,Ligue 1,opponent,1326,1075,83.2,6949,90.6,7033,89.3,1078,49.8,26.0,28.1,55.0,22354,7535,10508,4524,615,12597,31370,403,128,290,617,398,298,283,273,61,915,100,254,869,624,18.35,455,44,37,33,6,73,2.15,56,3,6,3,5,0,10.21,3.12,30.5,0.11,0.37,36.8,0.1,3.2,3.8,1508,51.0,439,18518,16981,42,73
Udinese,Serie A,opponent,1282,956,81.2,5990,88.5,6925,88.2,1531,56.5,35.6,28.3,52.8,22212,7711,9803,4905,788,12421,31794,419,159,229,589,350,270,275,238,76,859,109,217,887,867,22.82,628,31,77,35,15,85,2.24,57,4,2,14,8,0,13.05,4.13,31.7,0.09,0.28,52.6,0.1,-1.6,-2.5,1411,47.3,405,18221,16283,53,86
Union Berlin,Bundesliga,opponent,1491,1264,81.3,6966,87.9,7697,88.4,1456,53.6,32.4,41.9,60.0,24274,6987,12081,5341,764,13550,33786,435,123,237,500,289,250,230,200,70,750,104,290,940,737,21.68,556,34,35,35,10,90,2.65,65,4,6,6,5,4,12.06,3.91,32.4,0.11,0.35,47.8,0.11,1.2,4.0,1322,50.8,325,20253,18532,47,78
Valencia,La Liga,opponent,1419,1184,80.6,6744,89.2,6698,87.4,1513,54.4,37.2,37.8,51.6,23232,7471,10614,5323,743,12610,31522,414,156,252,661,388,293,292,291,78,954,96,313,902,741,19.5,535,37,46,34,13,88,2.32,68,3,3,7,5,2,10.97,3.68,33.6,0.11,0.32,51.9,0.11,-0.9,0.1,1589,54.6,474,18992,17048,78,139
Valladolid,La Liga,opponent,1753,1475,83.5,7740,91.1,7685,89.5,1328,54.0,46.8,44.4,57.2,24328,5842,11908,6783,982,14005,39730,592,199,290,534,329,211,189,251,94,745,84,219,731,1068,28.11,802,62,69,52,17,160,4.21,121,5,12,13,8,1,15.58,5.18,33.3,0.14,0.42,67.6,0.11,21.4,19.6,1489,49.1,505,20501,18714,62,99
Venezia,Serie A,opponent,1397,1156,80.3,6714,88.7,6273,86.2,1602,57.1,39.3,34.2,54.9,22914,7116,10168,5872,922,12980,32620,506,191,286,688,420,304,284,296,108,992,104,257,823,987,25.97,701,51,65,49,22,93,2.45,57,10,3,9,10,4,14.63,4.66,31.8,0.08,0.24,57.5,0.09,-4.5,-5.9,1589,56.1,496,18608,16715,46,95
Villarreal,La Liga,opponent,1597,1325,83.4,7409,90.4,7220,89.4,1638,59.6,28.5,33.8,52.4,23983,7431,10422,6344,822,14128,37444,563,183,292,567,349,297,283,189,95,864,120,279,821,868,22.84,644,46,54,43,12,87,2.29,58,5,4,9,9,2,12.5,4.03,32.2,0.09,0.28,44.4,0.08,5.6,4.8,1493,44.8,496,19916,18105,40,191
Werder Bremen,Bundesliga,opponent,1336,1067,80.3,6723,89.7,6054,86.3,1217,50.7,36.3,42.7,50.1,21849,6824,10158,5066,781,11625,27051,396,157,245,496,306,317,218,202,76,813,122,318,873,828,24.35,607,55,51,35,8,98,2.88,74,3,8,4,6,3,13.74,4.5,32.8,0.11,0.33,48.1,0.1,5.9,5.3,1573,49.8,423,17808,16227,64,50
West Ham,Premier League,opponent,1622,1386,81.1,7440,88.7,6663,86.6,1367,54.0,47.6,43.0,51.6,23805,7191,10213,6620,1094,13771,39404,510,242,242,752,435,298,322,310,120,1050,144,287,836,1041,27.39,797,30,66,48,19,99,2.61,69,7,6,8,6,3,15.26,4.82,31.6,0.1,0.31,59.7,0.1,-0.7,-1.4,1582,48.8,410,19489,17708,79,79
Wolfsburg,Bundesliga,opponent,1348,1098,80.3,6618,88.5,5949,86.4,1290,54.6,40.5,39.7,53.9,21657,6793,9608,5447,789,11549,29055,414,145,294,483,289,309,241,163,79,792,118,302,828,847,24.91,597,54,64,35,14,92,2.71,58,9,8,13,2,2,13.82,4.62,33.4,0.11,0.32,52.5,0.11,0.5,0.9,1389,52.0,379,17731,16046,42,72
Wolves,Premier League,opponent,1534,1269,82.1,7424,89.9,6871,87.9,1283,54.1,41.5,35.5,51.9,23658,7218,10397,6274,982,13159,36766,520,234,296,684,422,308,277,300,107,992,110,282,805,832,21.89,598,41,45,49,12,117,3.08,79,10,7,9,11,1,12.21,4.18,34.3,0.13,0.37,58.1,0.11,7.9,8.0,1609,51.3,442,19341,17527,62,78
