"Rk","Player","Player_Href","Nation","Pos","Squad","Age","Born","Mins_Per_90","Att","Live_Pass Types","Dead_Pass Types","FK_Pass Types","TB_Pass Types","Sw_Pass Types","Crs_Pass Types","TI_Pass Types","CK_Pass Types","In_Corner Kicks","Out_Corner Kicks","Str_Corner Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Matches","url"
98,"Trevoh Chalobah","/en/players/5515376c/Trevoh-Chalobah","eng ENG","DF","Chelsea",24,1999,10.6,783,746,36,13,1,0,0,22,0,0,0,0,700,1,1,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
99,"Calum Chambers","/en/players/dc6f5bdd/Calum-Chambers","eng ENG","MF,DF","Aston Villa",28,1995,1.7,113,113,0,0,0,1,0,0,0,0,0,0,100,0,2,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
100,"Youssef Chermiti","/en/players/890f108d/Youssef-Chermiti","pt POR","FW","Everton",19,2004,2.3,58,57,1,0,0,0,0,0,0,0,0,0,35,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
101,"Ben Chilwell","/en/players/d2424d1b/Ben-Chilwell","eng ENG","DF","Chelsea",26,1996,8.4,495,416,73,11,0,0,43,41,21,9,11,0,373,6,19,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
102,"Tawanda Chirewa","/en/players/34721c11/Tawanda-Chirewa","zw ZIM","MF,FW","Wolves",19,2003,1.6,58,54,3,1,0,0,4,0,0,0,0,0,46,1,2,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
103,"Leon Chiwome","/en/players/a2852b4f/Leon-Chiwome","eng ENG","FW","Wolves",17,2006,1.9,22,18,4,0,0,0,0,0,0,0,0,0,19,0,1,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
104,"Tahith Chong","/en/players/2696b6a9/Tahith-Chong","nl NED","MF,FW","Luton Town",23,1999,22,550,515,31,4,5,6,35,11,0,0,0,0,428,4,21,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
105,"Ryan Christie","/en/players/26ce2263/Ryan-Christie","sct SCO","MF","Bournemouth",28,1995,32.3,1300,1217,78,22,17,18,73,2,30,29,0,0,988,5,26,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
106,"Carney Chukwuemeka","/en/players/b2f9c73e/Carney-Chukwuemeka","eng ENG","MF,FW","Chelsea",19,2003,2.5,134,134,0,0,2,0,1,0,0,0,0,0,115,0,4,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
107,"Bobby Clark","/en/players/73341ace/Bobby-Clark","eng ENG","MF","Liverpool",18,2005,1,49,49,0,0,0,0,0,0,0,0,0,0,38,0,2,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
108,"Jordan Clark","/en/players/7c5fa6cf/Jordan-Clark","eng ENG","MF","Luton Town",29,1993,14.5,513,475,36,13,1,6,23,5,0,0,0,0,369,2,18,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
109,"Nathaniel Clyne","/en/players/0442183b/Nathaniel-Clyne","eng ENG","DF","Crystal Palace",32,1991,14.9,600,539,58,3,0,0,9,55,0,0,0,0,495,3,16,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
110,"Séamus Coleman","/en/players/0420d84f/Seamus-Coleman","ie IRL","DF","Everton",34,1988,7.4,306,232,70,1,0,1,13,69,0,0,0,0,207,4,11,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
111,"Nathan Collins","/en/players/a8c19eb8/Nathan-Collins","ie IRL","DF","Brentford",22,2001,29.5,1552,1423,123,46,2,13,4,74,0,0,0,0,1261,6,16,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
112,"Levi Colwill","/en/players/700783e7/Levi-Colwill","eng ENG","DF","Chelsea",20,2003,20,1163,1033,126,28,4,0,12,94,0,0,0,0,965,4,17,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
113,"Lewis Cook","/en/players/2afc7272/Lewis-Cook","eng ENG","MF","Bournemouth",26,1997,31,1487,1290,195,88,2,3,132,10,93,81,5,1,1135,2,25,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
114,"Jack Cork","/en/players/74e12f1e/Jack-Cork","eng ENG","MF","Burnley",34,1989,0.3,33,31,2,2,0,0,1,0,0,0,0,0,25,0,2,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
115,"Maxwel Cornet","/en/players/beb391dd/Maxwel-Cornet","ci CIV","MF,FW","West Ham",26,1996,1.2,49,48,1,0,0,0,1,0,0,0,0,0,36,0,2,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
116,"Vladimír Coufal","/en/players/fdf3cb77/Vladimir-Coufal","cz CZE","DF","West Ham",30,1992,34.8,1665,1317,337,17,2,4,106,319,1,0,0,0,1154,11,56,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
117,"Philippe Coutinho","/en/players/0ef89a37/Philippe-Coutinho","br BRA","MF,FW","Aston Villa",31,1992,0.3,24,23,1,0,0,0,0,0,0,0,0,0,20,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
118,"Aaron Cresswell","/en/players/4f974391/Aaron-Cresswell","eng ENG","DF,FW","West Ham",33,1989,4.8,308,245,63,9,0,4,11,50,4,1,3,0,254,0,3,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
119,"Marc Cucurella","/en/players/1daec722/Marc-Cucurella","es ESP","DF","Chelsea",25,1998,19.8,1196,1043,153,30,1,2,16,123,0,0,0,0,1036,0,26,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
120,"Josh Cullen","/en/players/f6d7d690/Josh-Cullen","ie IRL","MF","Burnley",27,1996,22.9,1373,1311,57,42,5,2,26,1,14,5,6,0,1173,5,19,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
121,"Matheus Cunha","/en/players/dc62b55d/Matheus-Cunha","br BRA","FW,MF","Wolves",24,1999,27.1,831,769,56,8,8,7,24,15,3,1,0,0,658,6,19,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
122,"Sam Curtis","/en/players/7d42865e/Sam-Curtis","ie IRL","DF","Sheffield Utd",17,2005,0.3,10,8,2,0,0,0,1,2,0,0,0,0,6,0,1,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
123,"Mahmoud Dahoud","/en/players/db4ed67b/Mahmoud-Dahoud","de GER","MF","Brighton",27,1996,5,328,326,2,2,1,0,3,0,0,0,0,0,284,0,8,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
124,"Ameen Al-Dakhil","/en/players/93e08bce/Ameen-Al-Dakhil","be BEL","DF","Burnley",21,2002,11.7,637,590,45,11,2,2,3,34,0,0,0,0,537,2,6,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
125,"Diogo Dalot","/en/players/d9565625/Diogo-Dalot","pt POR","DF","Manchester Utd",24,1999,35.3,1830,1546,277,21,1,7,80,251,5,2,3,0,1486,7,39,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
126,"Mikkel Damsgaard","/en/players/215f3907/Mikkel-Damsgaard","dk DEN","MF","Brentford",23,2000,9.4,432,409,21,5,10,3,29,7,7,4,3,0,300,2,19,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
127,"Danilo","/en/players/a816dbfb/Danilo","br BRA","MF","Nott'ham Forest",22,2001,19.9,757,716,35,7,4,9,26,1,19,19,0,0,588,6,15,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
128,"Arnaut Danjuma","/en/players/f08490a6/Arnaut-Danjuma","nl NED","MF,FW","Everton",26,1997,6.6,152,147,5,0,1,1,10,2,1,1,0,0,102,0,8,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
129,"Jayden Danns","/en/players/003cf4d1/Jayden-Danns","eng ENG","FW","Liverpool",17,2006,0.1,7,7,0,0,1,0,0,0,0,0,0,0,5,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
130,"Josh Dasilva","/en/players/60344e4f/Josh-Dasilva","eng ENG","DF,FW","Brentford",24,1998,0.3,19,17,2,0,0,0,6,0,2,2,0,0,10,0,1,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
131,"David Datro Fofana","/en/players/e82900ef/David-Datro-Fofana","ci CIV","FW","Burnley",20,2002,9.8,173,167,4,0,1,0,3,0,0,0,0,0,117,2,8,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
132,"Ben Davies","/en/players/44781702/Ben-Davies","wls WAL","DF","Tottenham",30,1993,12.1,850,788,61,34,3,3,10,27,0,0,0,0,766,1,10,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
133,"Tom Davies","/en/players/9228b07c/Tom-Davies","eng ENG","MF","Sheffield Utd",25,1998,2.5,99,92,5,2,1,0,4,1,0,0,0,0,68,2,5,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
134,"Craig Dawson","/en/players/3e9e06cb/Craig-Dawson","eng ENG","DF","Wolves",33,1990,24.5,1277,1236,38,29,2,22,1,1,0,0,0,0,1104,3,9,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
135,"Kevin De Bruyne","/en/players/e46012d4/Kevin-De-Bruyne","be BEL","MF","Manchester City",32,1991,13.6,971,840,124,23,11,6,136,24,69,29,16,5,732,7,27,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
136,"Hannes Delcroix","/en/players/b737f944/Hannes-Delcroix","be BEL","DF","Burnley",24,1999,6.5,350,320,29,3,0,0,5,26,0,0,0,0,300,1,2,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
137,"Leander Dendoncker","/en/players/5a7301ae/Leander-Dendoncker","be BEL","MF","Aston Villa",28,1995,1.3,56,56,0,0,0,1,0,0,0,0,0,0,45,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
138,"Moussa Diaby","/en/players/aeed5c06/Moussa-Diaby","fr FRA","FW,MF","Aston Villa",24,1999,24.2,619,567,51,3,6,2,45,4,1,0,0,0,485,1,15,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
139,"Amad Diallo","/en/players/9dc96f10/Amad-Diallo","ci CIV","FW,MF","Manchester Utd",21,2002,4.3,170,166,4,1,0,1,1,2,1,1,0,0,149,0,3,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
140,"Amadou Diallo","/en/players/e31708b2/Amadou-Diallo","eng ENG","MF","Newcastle Utd",20,2003,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
141,"Rúben Dias","/en/players/31c69ef1/Ruben-Dias","pt POR","DF","Manchester City",26,1997,28.4,2635,2567,65,46,2,7,13,11,0,0,0,0,2469,3,8,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
142,"Luis Díaz","/en/players/4a1a9578/Luis-Diaz","co COL","FW","Liverpool",26,1997,29.2,1075,1040,29,4,4,11,26,24,0,0,0,0,898,6,29,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
143,"Eric Dier","/en/players/ac861941/Eric-Dier","eng ENG","DF","Tottenham",29,1994,2.2,141,132,9,6,0,0,0,0,0,0,0,0,125,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
144,"Lucas Digne","/en/players/1b84dbe1/Lucas-Digne","fr FRA","DF","Aston Villa",30,1993,26.8,1351,1095,253,36,0,4,154,181,36,25,5,0,1015,3,42,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
145,"Issa Diop","/en/players/a712ca2b/Issa-Diop","fr FRA","DF","Fulham",26,1997,15.8,1080,1041,37,22,1,5,0,2,0,0,0,0,950,2,13,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
146,"Axel Disasi","/en/players/ad82197c/Axel-Disasi","fr FRA","DF","Chelsea",25,1998,28.7,2256,2153,98,49,3,11,10,43,0,0,0,0,2031,5,19,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
147,"Ben Doak","/en/players/733f1a7d/Ben-Doak","sct SCO","FW","Liverpool",17,2005,0.2,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
148,"Lewis Dobbin","/en/players/e814e1cf/Lewis-Dobbin","eng ENG","MF","Everton",20,2003,2.6,65,60,3,1,0,0,7,2,0,0,0,0,44,2,3,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
149,"Matt Doherty","/en/players/d557d734/Matt-Doherty","ie IRL","DF,MF","Wolves",31,1992,12.8,653,566,87,11,0,5,13,76,0,0,0,0,515,0,18,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
150,"Jeremy Doku","/en/players/fffea3e5/Jeremy-Doku","be BEL","FW,MF","Manchester City",21,2002,17.7,852,844,8,0,2,2,61,5,3,0,0,0,693,0,34,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
151,"Nicolás Domínguez","/en/players/20b3a502/Nicolas-Dominguez","ar ARG","MF,FW","Nott'ham Forest",25,1998,16.6,843,817,22,10,2,5,6,4,1,0,1,0,714,4,13,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
152,"Jamie Donley","/en/players/5e4d9b48/Jamie-Donley","nir NIR","FW","Tottenham",18,2005,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
153,"Abdoulaye Doucouré","/en/players/02b29014/Abdoulaye-Doucoure","ml MLI","FW,MF","Everton",30,1993,29.2,893,876,16,0,1,1,26,0,0,0,0,0,683,1,29,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
154,"Cheick Doucouré","/en/players/ce4f40c7/Cheick-Doucoure","ml MLI","MF","Crystal Palace",23,2000,10.2,422,418,4,4,5,0,1,0,0,0,0,0,367,0,7,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
155,"Alfie Doughty","/en/players/bf33b257/Alfie-Doughty","eng ENG","DF","Luton Town",23,1999,32.5,1686,1190,489,89,0,9,340,249,151,66,80,5,1121,7,60,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
156,"Tommy Doyle","/en/players/5526deb1/Tommy-Doyle","eng ENG","MF","Wolves",21,2001,13.6,955,878,69,44,2,15,28,8,15,8,3,0,801,8,11,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
157,"Radu Drăgușin","/en/players/620922ed/Radu-Dragusin","ro ROU","DF","Tottenham",21,2002,4.8,370,352,18,8,1,0,0,1,0,0,0,0,326,0,3,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
158,"Martin Dúbravka","/en/players/3a949a25/Martin-Dubravka","sk SVK","GK","Newcastle Utd",34,1989,22.1,651,443,206,37,0,1,0,0,0,0,0,0,519,2,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
159,"Paul Dummett","/en/players/3fe6bd8c/Paul-Dummett","wls WAL","DF","Newcastle Utd",31,1991,0.2,23,22,1,0,0,0,0,1,0,0,0,0,21,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
160,"Lewis Dunk","/en/players/282f75f3/Lewis-Dunk","eng ENG","DF","Brighton",31,1991,31.9,3233,3005,219,115,2,16,7,5,0,0,0,0,2977,9,5,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
161,"Jáder Durán","/en/players/414184f7/Jader-Duran","co COL","FW,MF","Aston Villa",19,2003,5.3,121,117,4,1,0,0,6,1,0,0,0,0,83,0,10,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
162,"George Earthy","/en/players/123d2733/George-Earthy","eng ENG","FW","West Ham",18,2004,0.4,17,17,0,0,0,0,0,0,0,0,0,0,16,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
163,"Ederson","/en/players/3bb7b8b4/Ederson","br BRA","GK","Manchester City",29,1993,30.9,1234,1077,157,43,0,9,0,0,0,0,0,0,1077,0,1,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
164,"Odsonne Édouard","/en/players/0562b7f1/Odsonne-Edouard","fr FRA","FW,MF","Crystal Palace",25,1998,17.3,350,338,9,0,4,0,10,0,1,0,0,0,249,3,20,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
165,"John Egan","/en/players/debe38a0/John-Egan","ie IRL","DF","Sheffield Utd",30,1992,5.4,185,181,2,2,0,0,0,0,0,0,0,0,128,2,1,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
166,"Hjalmar Ekdal","/en/players/3d554589/Hjalmar-Ekdal","se SWE","DF","Burnley",24,1998,4.9,217,213,4,4,0,2,0,0,0,0,0,0,191,0,1,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
167,"Anthony Elanga","/en/players/2fba6108/Anthony-Elanga","se SWE","FW,MF","Nott'ham Forest",21,2002,27,712,695,13,0,4,2,58,6,0,0,0,0,498,4,37,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
168,"Harvey Elliott","/en/players/b9e1436c/Harvey-Elliott","eng ENG","MF,FW","Liverpool",20,2003,15,986,932,44,4,3,8,62,10,19,9,7,0,825,10,17,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
169,"Mohamed Elneny","/en/players/47a34c4f/Mohamed-Elneny","eg EGY","MF","Arsenal",31,1992,0.3,40,39,1,1,0,0,0,0,0,0,0,0,39,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
170,"Emerson","/en/players/df8b52a5/Emerson","br BRA","DF","Tottenham",24,1999,12.9,1038,915,122,45,1,2,14,75,0,0,0,0,937,1,23,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
171,"Julio Enciso","/en/players/9cfbad36/Julio-Enciso","py PAR","MF,FW","Brighton",19,2004,5.3,178,168,8,2,2,0,8,1,2,0,0,0,132,2,5,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
172,"Wataru Endo","/en/players/c149016b/Wataru-Endo","jp JPN","MF","Liverpool",30,1993,19.1,1315,1295,16,13,5,1,4,2,0,0,0,0,1157,4,19,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
173,"Christian Eriksen","/en/players/980522ec/Christian-Eriksen","dk DEN","MF","Manchester Utd",31,1992,12.7,805,745,55,25,5,9,43,3,26,12,8,2,648,5,13,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
174,"Maxime Estève","/en/players/1a066e69/Maxime-Esteve","fr FRA","DF","Burnley",21,2002,14.5,821,754,66,13,1,3,5,5,0,0,0,0,690,1,10,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
175,"Pervis Estupiñán","/en/players/d38fdf53/Pervis-Estupinan","ec ECU","DF","Brighton",25,1998,13.8,962,851,107,22,1,3,65,73,12,6,2,0,809,4,20,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
176,"Jonny Evans","/en/players/f8fcd2a5/Jonny-Evans","nir NIR","DF","Manchester Utd",35,1988,15.5,832,778,51,18,1,0,0,3,0,0,0,0,729,3,7,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
177,"Eberechi Eze","/en/players/ae4fc6a4/Eberechi-Eze","eng ENG","MF,FW","Crystal Palace",25,1998,22.8,909,759,144,54,7,6,107,5,71,30,23,3,700,6,20,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
178,"Łukasz Fabiański","/en/players/9328b835/Lukasz-Fabianski","pl POL","GK","West Ham",38,1985,8,239,161,77,21,0,3,0,0,0,0,0,0,160,1,1,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
179,"Romain Faivre","/en/players/745ca0a3/Romain-Faivre","fr FRA","MF,FW","Bournemouth",25,1998,0.5,26,25,1,1,0,0,3,0,0,0,0,0,19,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
180,"Ansu Fati","/en/players/0ba976e4/Ansu-Fati","es ESP","MF,FW","Brighton",20,2002,5.8,210,203,4,2,1,1,3,0,0,0,0,0,178,3,10,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
181,"Felipe","/en/players/51a3c4c8/Felipe","br BRA","DF","Nott'ham Forest",34,1989,4.2,215,206,8,7,0,1,0,1,0,0,0,0,183,1,1,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
182,"Evan Ferguson","/en/players/4596da74/Evan-Ferguson","ie IRL","FW","Brighton",18,2004,15.2,303,269,32,0,1,0,1,0,0,0,0,0,244,2,13,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
183,"Bruno Fernandes","/en/players/507c7bdf/Bruno-Fernandes","pt POR","MF,FW","Manchester Utd",28,1994,34.6,2179,1872,284,64,30,22,223,22,151,46,55,8,1590,23,62,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
184,"Enzo Fernández","/en/players/5ff4ab71/Enzo-Fernandez","ar ARG","MF","Chelsea",22,2001,24.5,1862,1756,89,52,21,28,45,5,22,4,7,0,1574,17,30,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
185,"John Fleck","/en/players/b63e789d/John-Fleck","sct SCO","MF,DF","Sheffield Utd",31,1991,1,40,36,4,2,1,0,0,0,0,0,0,0,29,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
186,"Mark Flekken","/en/players/a92ab7be/Mark-Flekken","nl NED","GK","Brentford",30,1993,36.5,1580,1122,455,166,0,5,0,0,0,0,0,0,1131,3,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
187,"Phil Foden","/en/players/ed1e53f3/Phil-Foden","eng ENG","FW,MF","Manchester City",23,2000,31.7,1767,1684,79,19,15,6,89,4,50,26,14,0,1511,4,49,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
188,"Wes Foderingham","/en/players/96cf7b61/Wes-Foderingham","eng ENG","GK","Sheffield Utd",32,1991,29.4,1055,659,386,124,0,4,0,0,0,0,0,0,596,10,1,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
189,"Pablo Fornals","/en/players/82927de4/Pablo-Fornals","es ESP","MF,FW","West Ham",27,1996,4.7,210,204,6,2,0,2,8,2,0,0,0,0,162,0,6,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
190,"Omari Forson","/en/players/1b9728b0/Omari-Forson","eng ENG","FW","Manchester Utd",19,2004,0.8,33,32,1,0,0,0,0,0,0,0,0,0,30,0,1,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
191,"Lyle Foster","/en/players/f84a807c/Lyle-Foster","za RSA","FW,MF","Burnley",22,2000,21.1,461,430,29,2,3,5,3,4,0,0,0,0,312,2,16,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
192,"Matheus França","/en/players/077faf72/Matheus-Franca","br BRA","MF,FW","Crystal Palace",19,2004,2.6,79,69,10,1,0,1,14,0,9,5,2,0,51,0,5,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
193,"Nathan Fraser","/en/players/00b77ecf/Nathan-Fraser","ie IRL","FW","Wolves",18,2005,2.1,42,39,3,0,0,0,0,0,0,0,0,0,33,0,3,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
194,"Cody Gakpo","/en/players/1971591f/Cody-Gakpo","nl NED","FW,MF","Liverpool",24,1999,18.3,564,547,15,5,1,2,21,6,0,0,0,0,436,2,15,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
195,"Conor Gallagher","/en/players/c2731c10/Conor-Gallagher","eng ENG","MF","Chelsea",23,2000,34.8,2018,1889,122,50,5,7,64,17,45,15,12,2,1801,7,29,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
196,"Idrissa Gana Gueye","/en/players/72c812f3/Idrissa-Gana-Gueye","sn SEN","MF","Everton",33,1989,20.9,898,882,13,3,2,6,11,4,0,0,0,0,758,3,14,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
197,"Alejandro Garnacho","/en/players/7aa8adfe/Alejandro-Garnacho","ar ARG","FW","Manchester Utd",19,2004,28.5,901,885,13,3,2,4,58,6,4,2,0,0,675,3,50,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
198,"James Garner","/en/players/4e015693/James-Garner","eng ENG","MF","Everton",22,2001,33.4,1244,1082,155,36,4,6,112,14,59,55,3,0,958,7,28,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
