"Rk","Player","Player_Href","Nation","Pos","Squad","Age","Born","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxGPlus_Minus_Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal Kicks","Launch_percent_Goal Kicks","AvgLen_Goal Kicks","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","Matches","url"
27,"Aaron Ramsdale","/en/players/466fb2c5/Aaron-Ramsdale","eng ENG","GK","Arsenal",25,1998,6,5,0,0,1,0,3.7,0.26,-1.3,-0.22,19,69,27.5,169,30,34.9,33.3,19,52.6,41.4,46,8,17.4,9,1.5,14.6,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
28,"David Raya","/en/players/98ea5115/David-Raya","es ESP","GK","Arsenal",27,1995,32,24,2,1,5,1,20.4,0.26,-2.6,-0.08,138,372,37.1,969,159,32.2,30.7,96,62.5,47.5,329,40,12.2,50,1.56,17.9,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
29,"José Sá","/en/players/903b6e8b/Jose-Sa","pt POR","GK","Wolves",30,1993,33.7,58,8,1,7,1,65.9,0.31,8.9,0.26,87,424,20.5,841,190,33.3,33,253,56.9,42.6,522,45,8.6,28,0.83,12.6,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
30,"Robert Sánchez","/en/players/6a713852/Robert-Sanchez","es ESP","GK","Chelsea",25,1997,15.9,25,2,0,3,0,24.2,0.28,-0.8,-0.05,61,147,41.5,516,87,21.3,28.1,91,40.7,33.7,202,19,9.4,27,1.7,15.8,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
31,"Matz Sels","/en/players/834b5c4c/Matz-Sels","be BEL","GK","Nott'ham Forest",31,1992,16,27,1,0,9,2,17.1,0.27,-7.9,-0.5,75,179,41.9,283,51,45.9,36.6,93,52.7,41.4,222,11,5,4,0.25,9.4,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
32,"James Shea","/en/players/ee7c0a5e/James-Shea","eng ENG","GK","Luton Town",32,1991,0.2,0,0,0,0,0,0.1,0.06,0.1,0.75,3,6,50,6,1,83.3,50.8,3,33.3,37.3,3,0,0,1,6,19,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
33,"Jason Steele","/en/players/28300a16/Jason-Steele","eng ENG","GK","Brighton",32,1990,17,34,3,1,5,2,25.7,0.32,-6.3,-0.37,47,132,35.6,617,69,20.1,26.6,54,14.8,18.8,173,7,4,41,2.41,20.6,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
34,"Thomas Strakosha","/en/players/339fe0e8/Thomas-Strakosha","al ALB","GK","Brentford",28,1995,1.5,2,0,0,0,0,1.5,0.2,-0.5,-0.3,12,30,40,56,5,41.1,35.8,15,46.7,39.9,37,2,5.4,1,0.67,10,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
35,"James Trafford","/en/players/259fea27/James-Trafford","eng ENG","GK","Burnley",20,2002,28,62,5,0,10,2,54.1,0.3,-5.9,-0.21,138,606,22.8,1332,162,33.9,31.3,198,78.3,54.2,419,30,7.2,43,1.54,15,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
36,"Mark Travers","/en/players/fe558029/Mark-Travers","ie IRL","GK","Bournemouth",24,1999,4,5,1,0,0,0,5,0.23,0,0.01,22,72,30.6,92,13,55.4,41.7,26,80.8,55.6,60,3,5,3,0.75,14.8,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
37,"Matt Turner","/en/players/4a51ba65/Matt-Turner","us USA","GK","Nott'ham Forest",29,1994,17,28,2,1,4,0,22.1,0.26,-5.9,-0.35,126,280,45,436,99,42.7,35.7,136,69.1,47,296,30,10.1,18,1.06,13.3,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
38,"Bart Verbruggen","/en/players/cf134113/Bart-Verbruggen","nl NED","GK","Brighton",20,2002,21,28,3,0,3,0,25.4,0.25,-2.6,-0.12,55,142,38.7,789,117,17.1,24.4,72,9.7,15.7,232,17,7.3,31,1.48,15.8,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
39,"Guglielmo Vicario","/en/players/77d6fd4d/Guglielmo-Vicario","it ITA","GK","Tottenham",26,1996,38,61,7,1,8,3,60,0.32,2,0.05,53,225,23.6,1363,193,14.3,24,201,14.9,22.2,511,33,6.5,81,2.13,17.1,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
40,"Odisseas Vlachodimos","/en/players/03df04ff/Odisseas-Vlachodimos","gr GRE","GK","Nott'ham Forest",29,1994,5,12,1,0,2,0,7.9,0.31,-4.1,-0.83,28,60,46.7,130,21,25.4,29.6,44,61.4,44.3,92,3,3.3,2,0.4,10.3,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
