"Rk","Player","Player_Href","Nation","Pos","Squad","Age","Born","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take_minus_Ons","Succ_Take_minus_Ons","Succ_percent_Take_minus_Ons","Tkld_Take_minus_Ons","Tkld_percent_Take_minus_Ons","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Matches","url"
442,"Tim Ream","/en/players/28b40c9c/Tim-Ream","us USA","DF","Fulham",35,1987,16.7,1206,160,585,600,30,7,1206,7,6,85.7,1,14.3,739,4157,2723,11,6,2,6,3,811,3,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
443,"Nathan Redmond","/en/players/ab651565/Nathan-Redmond","eng ENG","FW,MF","Burnley",29,1994,1.6,88,3,10,31,50,9,88,6,4,66.7,2,33.3,57,435,291,7,5,1,1,2,67,22,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
444,"Harrison Reed","/en/players/803ae100/Harrison-Reed","eng ENG","MF","Fulham",28,1995,14.7,883,34,214,488,182,10,883,10,5,50,5,50,449,1715,590,10,10,1,19,13,603,40,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
445,"Sergio Reguilón","/en/players/3353737a/Sergio-Reguilon","es ESP","DF","Manchester Utd",26,1996,4.6,378,8,70,155,155,9,378,11,3,27.3,4,36.4,184,847,441,11,4,2,8,1,217,38,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
446,"Sergio Reguilón","/en/players/3353737a/Sergio-Reguilon","es ESP","DF","Brentford",26,1996,12.4,708,55,242,253,228,22,708,26,13,50,11,42.3,318,1988,1160,34,25,2,22,5,332,40,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
447,"Bobby Reid","/en/players/0f7533cd/Bobby-Reid","jm JAM","FW","Fulham",30,1993,15.8,671,23,98,301,277,55,671,25,8,32,12,48,389,1875,900,35,18,11,33,10,475,95,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
448,"Gio Reyna","/en/players/7fa4e703/Gio-Reyna","us USA","FW,MF","Nott'ham Forest",20,2002,2.6,173,2,18,71,84,12,173,7,3,42.9,4,57.1,83,327,101,3,2,2,8,4,121,14,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
449,"Rodrigo Ribeiro","/en/players/484a3eae/Rodrigo-Ribeiro","pt POR","MF,FW","Nott'ham Forest",18,2005,0.2,12,0,1,4,7,2,12,1,0,0,1,100,7,59,43,2,1,0,0,1,8,1,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
450,"Declan Rice","/en/players/1c7012b8/Declan-Rice","eng ENG","MF","Arsenal",24,1999,35.8,2650,100,581,1398,696,67,2650,46,21,45.7,20,43.5,1675,10194,5139,75,70,16,31,22,1928,64,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
451,"Chris Richards","/en/players/0a3d6d2b/Chris-Richards","us USA","DF,MF","Crystal Palace",23,2000,23.3,1195,157,557,568,77,21,1195,1,1,100,0,0,574,2313,890,1,6,0,7,4,678,1,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
452,"Richarlison","/en/players/fa031b34/Richarlison","br BRA","FW","Tottenham",26,1997,16.6,652,33,88,248,322,121,652,37,10,27,23,62.2,394,1656,712,26,11,17,53,40,459,106,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
453,"Jaïro Riedewald","/en/players/7a1f2c08/Jairo-Riedewald","nl NED","MF,FW","Crystal Palace",26,1996,2.6,138,3,23,79,37,6,138,3,1,33.3,2,66.7,63,243,79,3,0,2,4,2,84,3,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
454,"Matt Ritchie","/en/players/71ef519e/Matt-Ritchie","sct SCO","FW,MF","Newcastle Utd",33,1989,1.4,125,6,26,42,57,9,125,2,0,0,1,50,58,293,160,5,5,2,3,1,85,13,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
455,"Connor Roberts","/en/players/24fae784/Connor-Roberts","wls WAL","DF","Burnley",27,1995,9.1,557,28,182,259,120,6,557,2,0,0,2,100,309,1163,620,6,10,0,3,1,358,13,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
456,"Andrew Robertson","/en/players/2e4f5f03/Andrew-Robertson","sct SCO","DF","Liverpool",29,1994,18.8,1713,67,387,789,548,55,1713,17,5,29.4,12,70.6,979,4623,2638,63,40,6,18,6,1160,130,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
