"Rk","Player","Player_Href","Nation","Pos","Squad","Age","Born","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take_minus_Ons","Succ_Take_minus_Ons","Succ_percent_Take_minus_Ons","Tkld_Take_minus_Ons","Tkld_percent_Take_minus_Ons","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Matches","url"
43,"Shandon Baptiste","/en/players/2886c9b5/Shandon-Baptiste","gd GRN","MF","Brentford",25,1998,2.5,130,7,41,57,34,6,130,11,6,54.5,5,45.5,64,322,170,3,1,0,8,0,69,1,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
44,"Valentín Barco","/en/players/b9f282ec/Valentin-Barco","ar ARG","DF,FW","Brighton",19,2004,3.4,274,7,73,102,100,5,274,11,5,45.5,4,36.4,181,697,367,8,4,0,5,4,188,20,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
45,"Ross Barkley","/en/players/3a24769f/Ross-Barkley","eng ENG","MF","Luton Town",29,1993,29.1,1777,73,374,1011,430,39,1777,104,66,63.5,34,32.7,1006,6393,2810,48,49,4,27,56,1114,39,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
46,"Harvey Barnes","/en/players/3ea50f67/Harvey-Barnes","eng ENG","FW,MF","Newcastle Utd",25,1997,8.9,360,5,48,117,200,60,360,25,7,28,14,56,266,1782,1093,45,21,23,12,16,285,79,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
47,"Chris Basham","/en/players/1aa84968/Chris-Basham","eng ENG","DF,MF","Sheffield Utd",35,1988,3.6,185,26,84,69,32,5,185,4,3,75,1,25,72,320,163,1,4,0,2,2,89,6,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
48,"Calvin Bassey","/en/players/a36524bf/Calvin-Bassey","ng NGA","DF","Fulham",23,1999,25.6,1901,305,1054,830,37,9,1901,14,11,78.6,2,14.3,1179,6037,3035,15,11,2,12,8,1291,4,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
49,"Owen Beck","/en/players/a011a1e9/Owen-Beck","wls WAL","DF","Liverpool",20,2002,0.1,8,0,3,4,2,0,8,1,0,0,1,100,4,43,1,0,0,0,1,0,4,1,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
50,"Donny van de Beek","/en/players/50dc94ce/Donny-van-de-Beek","nl NED","DF","Manchester Utd",26,1997,0,4,0,0,2,2,2,4,0,0,NA,0,NA,1,1,0,0,0,0,1,0,1,1,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
51,"Amari'i Bell","/en/players/399e9474/Amarii-Bell","jm JAM","DF","Luton Town",29,1994,19.1,1070,101,480,486,117,5,1070,27,10,37,15,55.6,584,3640,2020,32,25,1,18,5,607,10,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
52,"Jean-Ricner Bellegarde","/en/players/10f0fdd3/Jean-Ricner-Bellegarde","fr FRA","MF,FW","Wolves",25,1998,10.6,478,25,86,201,199,30,478,39,17,43.6,17,43.6,268,1850,880,30,28,5,25,19,302,49,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
53,"Anis Ben Slimane","/en/players/9ade9ce1/Anis-Ben-Slimane","tn TUN","MF","Sheffield Utd",22,2001,4.7,216,15,46,108,65,12,216,17,2,11.8,13,76.5,109,452,168,3,8,3,8,12,120,21,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
54,"Saïd Benrahma","/en/players/5a04fd92/Said-Benrahma","dz ALG","FW,MF","West Ham",27,1995,6.9,355,11,65,128,168,35,354,38,14,36.8,21,55.3,238,1687,790,28,17,15,14,8,245,70,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
55,"Rodrigo Bentancur","/en/players/3b8674e6/Rodrigo-Bentancur","uy URU","MF","Tottenham",26,1997,11.2,932,36,174,513,250,29,932,21,11,52.4,8,38.1,575,2778,1154,16,22,2,16,19,732,31,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
56,"Daniel Bentley","/en/players/68db6358/Daniel-Bentley","eng ENG","GK","Wolves",30,1993,4.3,151,120,149,2,0,0,151,0,0,NA,0,NA,66,318,181,0,0,0,0,0,76,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
57,"Jóhann Berg Guðmundsson","/en/players/f72293fc/Johann-Berg-Gudmundsson","is ISL","MF,FW","Burnley",32,1990,13.2,656,25,108,284,268,26,656,16,5,31.3,7,43.8,371,1836,605,13,13,2,20,15,420,69,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
58,"Sander Berge","/en/players/d0b6129f/Sander-Berge","no NOR","MF","Burnley",25,1998,33.4,1887,133,494,997,414,41,1887,41,20,48.8,16,39,1076,6419,3091,64,57,9,23,23,1233,29,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
59,"Luke Berry","/en/players/2aaadf33/Luke-Berry","eng ENG","MF,DF","Luton Town",31,1992,3.6,143,5,28,70,46,13,143,3,2,66.7,0,0,56,140,30,1,2,0,5,4,70,7,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
60,"Beto","/en/players/ed5c0319/Beto","gw GNB","FW","Everton",25,1998,10.6,373,16,30,141,206,64,372,35,15,42.9,17,48.6,183,1021,384,14,9,13,47,22,250,58,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
61,"Jordan Beyer","/en/players/9af1f9ff/Jordan-Beyer","de GER","DF","Burnley",23,2000,13.7,1022,159,570,429,26,8,1022,7,4,57.1,2,28.6,624,3314,2089,9,11,0,5,1,678,1,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
62,"Philip Billing","/en/players/d328a254/Philip-Billing","dk DEN","MF","Bournemouth",27,1996,15.5,755,43,139,337,286,60,755,33,12,36.4,18,54.5,366,1772,798,22,23,6,27,17,438,63,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
63,"Yves Bissouma","/en/players/6c203af0/Yves-Bissouma","ml MLI","MF","Tottenham",26,1996,23,2119,97,469,1226,443,19,2119,47,27,57.4,12,25.5,1367,7132,3006,43,42,7,33,30,1641,13,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
64,"Benicio Boaitey","/en/players/4c5835e6/Benicio-Boaitey","eng ENG","FW,DF","Brighton",19,2004,0.4,30,1,6,6,19,1,30,1,1,100,0,0,19,105,40,1,2,1,2,1,23,2,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
65,"Oscar Bobb","/en/players/eed2427e/Oscar-Bobb","no NOR","FW,MF","Manchester City",20,2003,3.4,219,4,13,36,173,27,219,18,11,61.1,6,33.3,139,671,395,13,5,5,6,6,159,38,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
66,"Jayden Bogle","/en/players/ae5019e6/Jayden-Bogle","eng ENG","DF","Sheffield Utd",23,2000,31,1376,145,531,537,330,55,1376,60,25,41.7,27,45,592,3521,1441,38,32,11,51,27,677,92,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
67,"Willy Boly","/en/players/a4ac4b8f/Willy-Boly","ci CIV","DF","Nott'ham Forest",32,1991,16,895,148,502,334,61,34,895,7,3,42.9,2,28.6,380,1713,864,4,2,1,4,3,447,3,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
68,"Sven Botman","/en/players/ccce7025/Sven-Botman","nl NED","DF","Newcastle Utd",23,2000,15.3,1154,186,676,450,29,20,1154,2,0,0,2,100,672,2866,1403,0,4,0,5,2,822,5,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
69,"Jarrod Bowen","/en/players/79c84d1c/Jarrod-Bowen","eng ENG","FW","West Ham",26,1996,33.5,1094,20,135,410,571,174,1094,97,34,35.1,55,56.7,666,4859,2141,90,40,49,79,58,745,186,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
70,"Conor Bradley","/en/players/bbd67769/Conor-Bradley","nir NIR","DF","Liverpool",20,2003,8.4,661,14,140,289,243,38,661,30,13,43.3,14,46.7,373,2144,1085,35,29,12,17,10,388,64,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
71,"Jarrad Branthwaite","/en/players/c1949191/Jarrad-Branthwaite","eng ENG","DF","Everton",21,2002,34.6,1791,307,961,777,61,39,1791,8,5,62.5,2,25,759,3161,1557,2,5,1,20,2,903,6,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
72,"Ben Brereton","/en/players/57827369/Ben-Brereton","cl CHI","FW,MF","Sheffield Utd",24,1999,12.3,388,14,44,168,185,51,387,28,10,35.7,17,60.7,234,1449,669,23,15,19,23,16,282,78,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
73,"Rhian Brewster","/en/players/30e81a88/Rhian-Brewster","eng ENG","FW,MF","Sheffield Utd",23,2000,3.8,113,2,9,47,57,16,113,5,0,0,4,80,62,201,75,1,4,3,8,8,81,21,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
74,"Armando Broja","/en/players/97220da2/Armando-Broja","al ALB","FW","Chelsea",21,2001,5,167,3,9,56,106,35,167,31,13,41.9,16,51.6,117,695,286,11,4,8,17,14,131,37,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
75,"Armando Broja","/en/players/97220da2/Armando-Broja","al ALB","FW","Fulham",21,2001,1,43,0,5,15,23,4,43,6,2,33.3,4,66.7,23,162,62,2,2,0,3,4,37,7,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
76,"Andre Brooks","/en/players/5f346071/Andre-Brooks","eng ENG","MF,DF","Sheffield Utd",19,2003,10.4,394,16,75,209,117,16,394,25,13,52,11,44,207,1260,500,12,15,1,22,19,218,22,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
77,"David Brooks","/en/players/dc4cae05/David-Brooks","wls WAL","FW,MF","Bournemouth",26,1997,3.1,177,2,25,72,83,11,177,10,4,40,6,60,102,680,279,8,9,1,7,1,113,27,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
78,"Jacob Brown","/en/players/ca18c8f1/Jacob-Brown","sct SCO","MF,FW","Luton Town",25,1998,11.3,427,30,103,152,181,50,427,25,6,24,16,64,200,1112,504,25,14,9,24,25,237,53,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
79,"Josh Brownhill","/en/players/47369df8/Josh-Brownhill","eng ENG","MF","Burnley",27,1995,25,1351,71,326,627,410,42,1351,13,7,53.8,6,46.2,551,2278,1018,19,14,3,17,14,702,36,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
80,"Jacob Bruun Larsen","/en/players/4e204552/Jacob-Bruun-Larsen","dk DEN","MF,FW","Burnley",24,1998,13.9,720,20,97,229,401,89,719,55,20,36.4,31,56.4,398,2539,1351,61,20,33,28,10,449,146,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
81,"Hugo Bueno","/en/players/bfc3b3a0/Hugo-Bueno","es ESP","DF,MF","Wolves",20,2002,8.2,517,33,180,208,130,9,517,23,8,34.8,11,47.8,266,1575,785,22,9,2,7,14,306,40,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
82,"Santiago Bueno","/en/players/edc98fac/Santiago-Bueno","uy URU","DF","Wolves",24,1998,9.1,566,77,301,250,18,1,566,1,1,100,0,0,330,1726,988,3,5,0,1,2,400,2,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
83,"Facundo Buonanotte","/en/players/468a7a91/Facundo-Buonanotte","ar ARG","FW,MF","Brighton",18,2004,15.2,673,21,91,316,277,35,673,52,18,34.6,28,53.8,421,2342,898,23,25,8,42,33,480,69,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
84,"Reece Burke","/en/players/a681b7b7/Reece-Burke","eng ENG","DF","Luton Town",26,1996,18.4,929,98,378,440,117,20,929,8,4,50,2,25,455,2080,1210,11,8,0,18,5,508,14,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
85,"Dan Burn","/en/players/b2d31e83/Dan-Burn","eng ENG","DF","Newcastle Utd",31,1992,30.3,2007,204,948,851,212,46,2007,6,4,66.7,2,33.3,924,3930,1664,14,7,3,15,10,1150,25,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
86,"Mason Burstow","/en/players/dab84ad2/Mason-Burstow","eng ENG","FW","Chelsea",19,2003,0.1,6,0,0,1,5,1,6,0,0,NA,0,NA,2,1,0,0,0,0,1,0,3,1,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
87,"Moisés Caicedo","/en/players/16264a81/Moises-Caicedo","ec ECU","MF","Chelsea",21,2001,31.8,2452,122,687,1405,382,9,2452,56,26,46.4,24,42.9,1378,5497,2466,27,31,1,36,24,1828,27,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
88,"Tom Cairney","/en/players/a8748947/Tom-Cairney","sct SCO","MF","Fulham",32,1991,16.5,1398,27,243,761,422,31,1398,33,26,78.8,5,15.2,931,4502,2261,35,42,6,29,24,1128,72,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
89,"Dominic Calvert-Lewin","/en/players/59e6e5bf/Dominic-Calvert-Lewin","eng ENG","FW","Everton",26,1997,24.1,738,50,79,263,399,124,736,43,14,32.6,26,60.5,357,2068,794,36,21,22,65,25,565,122,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
90,"Thomas Cannon","/en/players/4506aec5/Thomas-Cannon","ie IRL","FW","Everton",20,2002,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
91,"Diego Carlos","/en/players/b4a014b1/Diego-Carlos","br BRA","DF","Aston Villa",30,1993,20.2,1517,244,867,610,43,23,1517,4,2,50,2,50,1013,4786,2606,4,2,1,8,4,1118,1,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
92,"Cesare Casadei","/en/players/fb920f3a/Cesare-Casadei","it ITA","FW,MF","Chelsea",20,2003,0.9,81,6,17,49,15,1,81,2,2,100,0,0,36,234,59,1,0,0,3,0,62,3,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
93,"Casemiro","/en/players/4d224fe8/Casemiro","br BRA","MF,DF","Manchester Utd",31,1992,22,1762,169,646,884,245,45,1762,18,9,50,8,44.4,984,3576,1729,12,22,1,15,17,1163,36,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
94,"Kaelan Casey","/en/players/cd4b2c5f/Kaelan-Casey","eng ENG","DF","West Ham",18,2004,0,1,1,1,0,0,0,1,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
95,"Matty Cash","/en/players/2389cdc2/Matty-Cash","pl POL","DF","Aston Villa",25,1997,23.8,1497,89,491,657,364,54,1497,41,12,29.3,20,48.8,861,4885,2233,62,41,18,21,15,896,101,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
96,"Timothy Castagne","/en/players/197640fd/Timothy-Castagne","be BEL","DF","Fulham",27,1995,29.3,1937,116,697,831,418,58,1937,30,17,56.7,10,33.3,879,3780,1855,48,25,6,25,10,1121,113,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
97,"Jonny Castro","/en/players/e28868f3/Jonny-Castro","es ESP","MF","Wolves",29,1994,0.1,2,1,1,1,0,0,2,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
98,"Trevoh Chalobah","/en/players/5515376c/Trevoh-Chalobah","eng ENG","DF","Chelsea",24,1999,10.6,886,122,454,372,63,4,886,2,1,50,1,50,475,1552,709,5,5,2,10,3,633,9,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
99,"Calum Chambers","/en/players/dc6f5bdd/Calum-Chambers","eng ENG","MF,DF","Aston Villa",28,1995,1.7,129,9,68,49,12,0,129,1,1,100,0,0,78,349,158,0,0,0,0,1,99,1,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
100,"Youssef Chermiti","/en/players/890f108d/Youssef-Chermiti","pt POR","FW","Everton",19,2004,2.3,106,3,11,37,59,19,106,11,3,27.3,7,63.6,55,320,105,5,1,3,14,6,76,15,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
101,"Ben Chilwell","/en/players/d2424d1b/Ben-Chilwell","eng ENG","DF","Chelsea",26,1996,8.4,605,21,129,258,221,28,605,19,7,36.8,8,42.1,333,1713,844,22,14,5,21,5,394,59,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
102,"Tawanda Chirewa","/en/players/34721c11/Tawanda-Chirewa","zw ZIM","MF,FW","Wolves",19,2003,1.6,86,2,17,44,26,5,86,3,1,33.3,2,66.7,49,189,55,1,2,1,7,3,62,8,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
103,"Leon Chiwome","/en/players/a2852b4f/Leon-Chiwome","eng ENG","FW","Wolves",17,2006,1.9,39,3,5,25,10,4,39,0,0,NA,0,NA,16,86,50,1,0,1,3,2,18,7,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
104,"Tahith Chong","/en/players/2696b6a9/Tahith-Chong","nl NED","MF,FW","Luton Town",23,1999,22,819,30,160,351,324,52,819,72,25,34.7,32,44.4,520,3559,1880,57,47,9,59,40,560,101,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
105,"Ryan Christie","/en/players/26ce2263/Ryan-Christie","sct SCO","MF","Bournemouth",28,1995,32.3,1737,88,339,876,564,69,1737,98,51,52,41,41.8,933,5769,2681,60,58,14,58,47,987,78,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
106,"Carney Chukwuemeka","/en/players/b2f9c73e/Carney-Chukwuemeka","eng ENG","MF,FW","Chelsea",19,2003,2.5,167,1,21,77,72,12,167,12,2,16.7,10,83.3,107,646,231,4,5,2,5,4,129,19,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
107,"Bobby Clark","/en/players/73341ace/Bobby-Clark","eng ENG","MF","Liverpool",18,2005,1,70,4,11,34,26,6,70,4,0,0,3,75,45,286,149,3,0,2,3,6,48,7,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
108,"Jordan Clark","/en/players/7c5fa6cf/Jordan-Clark","eng ENG","MF","Luton Town",29,1993,14.5,694,36,130,339,234,42,694,42,12,28.6,24,57.1,385,2122,1004,21,20,7,25,21,439,39,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
109,"Nathaniel Clyne","/en/players/0442183b/Nathaniel-Clyne","eng ENG","DF","Crystal Palace",32,1991,14.9,722,40,273,323,131,7,722,16,8,50,6,37.5,326,1435,658,10,12,1,13,0,412,18,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
110,"Séamus Coleman","/en/players/0420d84f/Seamus-Coleman","ie IRL","DF","Everton",34,1988,7.4,388,42,136,152,103,3,388,13,6,46.2,7,53.8,162,837,387,5,5,1,7,4,176,16,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
111,"Nathan Collins","/en/players/a8c19eb8/Nathan-Collins","ie IRL","DF","Brentford",22,2001,29.5,1879,305,1049,696,140,48,1879,17,11,64.7,2,11.8,999,4658,2636,11,15,0,22,13,1126,18,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
112,"Levi Colwill","/en/players/700783e7/Levi-Colwill","eng ENG","DF","Chelsea",20,2003,20,1392,108,570,669,164,26,1392,13,9,69.2,4,30.8,766,3602,1985,23,17,2,22,4,873,27,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
113,"Lewis Cook","/en/players/2afc7272/Lewis-Cook","eng ENG","MF","Bournemouth",26,1997,31,1773,92,418,1003,382,9,1773,36,21,58.3,14,38.9,786,3970,1971,22,24,0,35,19,865,15,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
114,"Jack Cork","/en/players/74e12f1e/Jack-Cork","eng ENG","MF","Burnley",34,1989,0.3,37,0,4,23,11,1,37,0,0,NA,0,NA,24,146,98,4,2,0,0,0,30,1,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
115,"Maxwel Cornet","/en/players/beb391dd/Maxwel-Cornet","ci CIV","MF,FW","West Ham",26,1996,1.2,68,1,12,22,35,8,68,2,0,0,1,50,34,280,84,3,2,2,1,3,41,8,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
116,"Vladimír Coufal","/en/players/fdf3cb77/Vladimir-Coufal","cz CZE","DF","West Ham",30,1992,34.8,2025,163,728,814,501,26,2025,38,12,31.6,19,50,885,4956,2431,68,35,4,28,13,1010,126,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
117,"Philippe Coutinho","/en/players/0ef89a37/Philippe-Coutinho","br BRA","MF,FW","Aston Villa",31,1992,0.3,30,0,4,18,9,1,30,5,4,80,1,20,26,222,134,5,4,0,2,0,29,2,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
118,"Aaron Cresswell","/en/players/4f974391/Aaron-Cresswell","eng ENG","DF,FW","West Ham",33,1989,4.8,326,18,125,141,61,1,326,1,0,0,1,100,169,522,220,4,5,0,0,2,210,6,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
119,"Marc Cucurella","/en/players/1daec722/Marc-Cucurella","es ESP","DF","Chelsea",25,1998,19.8,1426,91,575,590,270,27,1426,13,4,30.8,7,53.8,657,2861,1579,31,15,3,15,6,873,73,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
120,"Josh Cullen","/en/players/f6d7d690/Josh-Cullen","ie IRL","MF","Burnley",27,1996,22.9,1555,65,342,905,321,18,1555,13,3,23.1,5,38.5,848,3351,1691,22,21,2,17,10,1065,22,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
121,"Matheus Cunha","/en/players/dc62b55d/Matheus-Cunha","br BRA","FW,MF","Wolves",24,1999,27.1,1220,30,169,611,474,121,1219,140,64,45.7,61,43.6,718,5683,3203,107,79,38,80,53,885,139,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
122,"Sam Curtis","/en/players/7d42865e/Sam-Curtis","ie IRL","DF","Sheffield Utd",17,2005,0.3,14,0,8,4,2,0,14,0,0,NA,0,NA,1,1,0,0,0,0,0,1,9,1,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
123,"Mahmoud Dahoud","/en/players/db4ed67b/Mahmoud-Dahoud","de GER","MF","Brighton",27,1996,5,368,12,86,225,58,4,368,5,2,40,3,60,239,951,406,4,3,1,6,5,303,6,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
124,"Ameen Al-Dakhil","/en/players/93e08bce/Ameen-Al-Dakhil","be BEL","DF","Burnley",21,2002,11.7,749,83,355,339,58,10,749,5,3,60,2,40,491,2471,1351,7,9,0,8,6,495,9,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
125,"Diogo Dalot","/en/players/d9565625/Diogo-Dalot","pt POR","DF","Manchester Utd",24,1999,35.3,2196,185,752,873,587,48,2196,52,31,59.6,18,34.6,1150,5414,2901,52,43,10,24,11,1256,111,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
126,"Mikkel Damsgaard","/en/players/215f3907/Mikkel-Damsgaard","dk DEN","MF","Brentford",23,2000,9.4,555,15,108,260,195,20,555,20,9,45,11,55,316,1578,846,16,11,3,18,8,346,32,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
127,"Danilo","/en/players/a816dbfb/Danilo","br BRA","MF","Nott'ham Forest",22,2001,19.9,977,79,281,521,191,16,977,26,17,65.4,9,34.6,514,2532,1167,22,20,3,24,13,591,28,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
128,"Arnaut Danjuma","/en/players/f08490a6/Arnaut-Danjuma","nl NED","MF,FW","Everton",26,1997,6.6,223,4,23,77,127,32,223,21,8,38.1,11,52.4,147,1182,599,24,15,11,10,7,147,44,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
129,"Jayden Danns","/en/players/003cf4d1/Jayden-Danns","eng ENG","FW","Liverpool",17,2006,0.1,7,0,0,3,4,0,7,0,0,NA,0,NA,3,11,5,0,1,0,0,0,4,2,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
130,"Josh Dasilva","/en/players/60344e4f/Josh-Dasilva","eng ENG","DF,FW","Brentford",24,1998,0.3,26,1,1,6,19,6,26,4,2,50,2,50,17,153,69,2,0,2,2,4,17,5,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
131,"David Datro Fofana","/en/players/e82900ef/David-Datro-Fofana","ci CIV","FW","Burnley",20,2002,9.8,307,10,36,130,147,45,307,41,15,36.6,22,53.7,187,1226,527,21,9,11,37,20,222,39,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
132,"Ben Davies","/en/players/44781702/Ben-Davies","wls WAL","DF","Tottenham",30,1993,12.1,972,97,406,473,96,23,972,10,4,40,6,60,593,3265,2044,13,13,1,2,3,685,20,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
