"Rk","Player","Player_Href","Nation","Pos","Squad","Age","Born","Mins_Per_90","SCA_SCA","SCA90_SCA","PassLive_SCA Types","PassDead_SCA Types","TO_SCA Types","Sh_SCA Types","Fld_SCA Types","Def_SCA Types","GCA_GCA","GCA90_GCA","PassLive_GCA Types","PassDead_GCA Types","TO_GCA Types","Sh_GCA Types","Fld_GCA Types","Def_GCA Types","Matches","url"
36,"Jordan Ayew","/en/players/da052c14/Jordan-Ayew","gh GHA","FW,MF","Crystal Palace",31,1991,28.3,72,2.55,40,5,5,7,12,3,12,0.42,10,0,1,0,1,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
37,"Benoît Badiashile","/en/players/06df8256/Benoit-Badiashile","fr FRA","DF","Chelsea",22,2001,14.9,23,1.55,18,0,0,2,1,2,3,0.2,3,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
38,"Leon Bailey","/en/players/3a233281/Leon-Bailey","jm JAM","MF,FW","Aston Villa",25,1997,23,97,4.22,70,7,9,7,3,1,11,0.48,7,1,1,2,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
39,"Stefan Bajcetic","/en/players/32e8417f/Stefan-Bajcetic","es ESP","MF","Liverpool",18,2004,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
40,"George Baldock","/en/players/394854c4/George-Baldock","gr GRE","DF","Sheffield Utd",30,1993,10.8,16,1.49,10,3,2,0,1,0,2,0.19,1,0,0,0,1,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
41,"Carlos Baleba","/en/players/a1390d2f/Carlos-Baleba","cm CMR","MF","Brighton",19,2004,14.7,17,1.15,16,0,0,1,0,0,1,0.07,1,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
42,"Fodé Ballo-Touré","/en/players/f449640d/Fode-Ballo-Toure","sn SEN","DF,MF","Fulham",26,1997,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
43,"Shandon Baptiste","/en/players/2886c9b5/Shandon-Baptiste","gd GRN","MF","Brentford",25,1998,2.5,5,1.96,4,0,1,0,0,0,1,0.39,1,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
44,"Valentín Barco","/en/players/b9f282ec/Valentin-Barco","ar ARG","DF,FW","Brighton",19,2004,3.4,8,2.35,5,3,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
45,"Ross Barkley","/en/players/3a24769f/Ross-Barkley","eng ENG","MF","Luton Town",29,1993,29.1,104,3.58,67,11,14,6,3,3,11,0.38,6,2,1,1,1,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
46,"Harvey Barnes","/en/players/3ea50f67/Harvey-Barnes","eng ENG","FW,MF","Newcastle Utd",25,1997,8.9,29,3.25,18,0,5,3,3,0,6,0.67,4,0,2,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
47,"Chris Basham","/en/players/1aa84968/Chris-Basham","eng ENG","DF,MF","Sheffield Utd",35,1988,3.6,3,0.84,1,0,0,1,1,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
48,"Calvin Bassey","/en/players/a36524bf/Calvin-Bassey","ng NGA","DF","Fulham",23,1999,25.6,15,0.59,13,0,0,2,0,0,2,0.08,0,0,0,2,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
49,"Owen Beck","/en/players/a011a1e9/Owen-Beck","wls WAL","DF","Liverpool",20,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
50,"Donny van de Beek","/en/players/50dc94ce/Donny-van-de-Beek","nl NED","DF","Manchester Utd",26,1997,0,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
51,"Amari'i Bell","/en/players/399e9474/Amarii-Bell","jm JAM","DF","Luton Town",29,1994,19.1,25,1.31,22,0,0,0,2,1,3,0.16,3,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
52,"Jean-Ricner Bellegarde","/en/players/10f0fdd3/Jean-Ricner-Bellegarde","fr FRA","MF,FW","Wolves",25,1998,10.6,30,2.81,20,2,6,1,1,0,2,0.19,1,0,1,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
53,"Anis Ben Slimane","/en/players/9ade9ce1/Anis-Ben-Slimane","tn TUN","MF","Sheffield Utd",22,2001,4.7,12,2.58,8,1,1,1,0,1,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
54,"Saïd Benrahma","/en/players/5a04fd92/Said-Benrahma","dz ALG","FW,MF","West Ham",27,1995,6.9,26,3.77,23,0,3,0,0,0,1,0.15,1,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
55,"Rodrigo Bentancur","/en/players/3b8674e6/Rodrigo-Bentancur","uy URU","MF","Tottenham",26,1997,11.2,31,2.78,26,0,1,2,0,2,4,0.36,3,0,0,0,0,1,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
56,"Daniel Bentley","/en/players/68db6358/Daniel-Bentley","eng ENG","GK","Wolves",30,1993,4.3,1,0.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
57,"Jóhann Berg Guðmundsson","/en/players/f72293fc/Johann-Berg-Gudmundsson","is ISL","MF,FW","Burnley",32,1990,13.2,50,3.78,28,17,0,2,3,0,5,0.38,3,2,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
58,"Sander Berge","/en/players/d0b6129f/Sander-Berge","no NOR","MF","Burnley",25,1998,33.4,67,2.01,63,0,3,0,1,0,8,0.24,7,0,1,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
59,"Luke Berry","/en/players/2aaadf33/Luke-Berry","eng ENG","MF,DF","Luton Town",31,1992,3.6,6,1.67,2,1,1,2,0,0,1,0.28,0,0,1,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
60,"Beto","/en/players/ed5c0319/Beto","gw GNB","FW","Everton",25,1998,10.6,32,3.03,19,0,6,3,2,2,1,0.09,1,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
