"Rk","Player","Player_Href","Nation","Pos","Squad","Age","Born","MP_Playing Time","Starts_Playing Time","Min_Playing Time","Mins_Per_90_Playing Time","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty Kicks","PKA_Penalty Kicks","PKsv_Penalty Kicks","PKm_Penalty Kicks","Save_percent_Penalty Kicks","Matches","url"
31,"Matz Sels","/en/players/834b5c4c/Matz-Sels","be BEL","GK","Nott'ham Forest",31,1992,16,16,1440,16,27,1.69,61,36,57.4,4,4,8,1,6.3,1,1,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/keepers/2023-2024-Premier-League-Stats"
32,"James Shea","/en/players/ee7c0a5e/James-Shea","eng ENG","GK","Luton Town",32,1991,1,0,15,0.2,0,0,2,2,100,0,0,0,0,NA,0,0,0,0,NA,"Matches","https://fbref.com/en/comps/9/2023-2024/keepers/2023-2024-Premier-League-Stats"
33,"Jason Steele","/en/players/28300a16/Jason-Steele","eng ENG","GK","Brighton",32,1990,17,17,1530,17,34,2,74,42,58.1,5,4,8,2,11.8,3,3,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/keepers/2023-2024-Premier-League-Stats"
34,"Thomas Strakosha","/en/players/339fe0e8/Thomas-Strakosha","al ALB","GK","Brentford",28,1995,2,1,135,1.5,2,1.33,8,6,75,0,0,1,0,0,0,0,0,0,NA,"Matches","https://fbref.com/en/comps/9/2023-2024/keepers/2023-2024-Premier-League-Stats"
35,"James Trafford","/en/players/259fea27/James-Trafford","eng ENG","GK","Burnley",20,2002,28,28,2520,28,62,2.21,166,106,65.7,3,5,20,2,7.1,5,5,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/keepers/2023-2024-Premier-League-Stats"
36,"Mark Travers","/en/players/fe558029/Mark-Travers","ie IRL","GK","Bournemouth",24,1999,4,4,360,4,5,1.25,18,13,77.8,2,0,2,2,50,1,1,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/keepers/2023-2024-Premier-League-Stats"
37,"Matt Turner","/en/players/4a51ba65/Matt-Turner","us USA","GK","Nott'ham Forest",29,1994,17,17,1530,17,28,1.65,80,52,67.5,4,5,8,2,11.8,2,2,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/keepers/2023-2024-Premier-League-Stats"
38,"Bart Verbruggen","/en/players/cf134113/Bart-Verbruggen","nl NED","GK","Brighton",20,2002,21,21,1890,21,28,1.33,91,63,72.5,7,8,6,4,19,3,3,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/keepers/2023-2024-Premier-League-Stats"
39,"Guglielmo Vicario","/en/players/77d6fd4d/Guglielmo-Vicario","it ITA","GK","Tottenham",26,1996,38,38,3420,38,61,1.61,167,109,67.7,20,6,12,7,18.4,7,7,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/keepers/2023-2024-Premier-League-Stats"
40,"Odisseas Vlachodimos","/en/players/03df04ff/Odisseas-Vlachodimos","gr GRE","GK","Nott'ham Forest",29,1994,5,5,450,5,12,2.4,22,10,50,1,0,4,1,20,1,1,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/keepers/2023-2024-Premier-League-Stats"
