"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Url"
2025,"Gladbach","Bundesliga","team",26,34,17507,15877,1565,385,80,69,617,632,158,67,71,0,14148,65,362,"https://fbref.com/en/squads/32f3ee20/2024-2025/Monchengladbach-Stats"
2025,"Gladbach","Bundesliga","opponent",26,34,17850,16292,1501,378,48,67,750,650,180,89,55,0,14473,57,325,"https://fbref.com/en/squads/32f3ee20/2024-2025/Monchengladbach-Stats"
2025,"Heidenheim","Bundesliga","team",27,34,14684,12981,1653,413,20,77,581,703,140,69,47,0,11127,50,330,"https://fbref.com/en/squads/18d9d2a7/2024-2025/Heidenheim-Stats"
2025,"Heidenheim","Bundesliga","opponent",27,34,19390,17744,1614,414,69,66,634,711,166,85,63,1,15818,32,382,"https://fbref.com/en/squads/18d9d2a7/2024-2025/Heidenheim-Stats"
2025,"Hellas Verona","Serie A","team",32,38,13457,11789,1613,403,28,91,562,641,152,68,64,1,9854,55,283,"https://fbref.com/en/squads/0e72edf2/2024-2025/Hellas-Verona-Stats"
2025,"Hellas Verona","Serie A","opponent",32,38,21566,19534,1984,604,48,93,687,814,201,79,91,0,17933,48,311,"https://fbref.com/en/squads/0e72edf2/2024-2025/Hellas-Verona-Stats"
2025,"Hoffenheim","Bundesliga","team",35,34,16506,14841,1595,405,38,65,732,702,157,57,62,3,12827,70,337,"https://fbref.com/en/squads/033ea6b8/2024-2025/Hoffenheim-Stats"
2025,"Hoffenheim","Bundesliga","opponent",35,34,17470,15827,1602,437,66,99,626,651,189,74,72,1,14007,41,342,"https://fbref.com/en/squads/033ea6b8/2024-2025/Hoffenheim-Stats"
2025,"Holstein Kiel","Bundesliga","team",27,34,13961,12298,1619,409,30,58,482,667,120,58,46,1,10537,44,293,"https://fbref.com/en/squads/2ac661d9/2024-2025/Holstein-Kiel-Stats"
2025,"Holstein Kiel","Bundesliga","opponent",27,34,18342,16528,1752,432,53,86,852,795,224,115,67,0,14775,62,305,"https://fbref.com/en/squads/2ac661d9/2024-2025/Holstein-Kiel-Stats"
2025,"Inter","Serie A","team",26,38,22592,20929,1573,442,86,132,751,635,221,58,125,1,19412,90,299,"https://fbref.com/en/squads/d609edc0/2024-2025/Internazionale-Stats"
2025,"Inter","Serie A","opponent",26,38,15118,13487,1593,492,25,105,581,536,140,57,55,0,12179,38,278,"https://fbref.com/en/squads/d609edc0/2024-2025/Internazionale-Stats"
2025,"Ipswich Town","Premier League","team",32,38,14775,13146,1577,434,44,60,505,572,145,111,18,1,11524,52,300,"https://fbref.com/en/squads/b74092de/2024-2025/Ipswich-Town-Stats"
2025,"Ipswich Town","Premier League","opponent",32,38,21940,20230,1668,459,82,104,778,680,249,136,31,6,18380,42,301,"https://fbref.com/en/squads/b74092de/2024-2025/Ipswich-Town-Stats"
2025,"Juventus","Serie A","team",29,38,21231,19605,1574,411,48,101,630,664,190,92,68,0,18259,52,283,"https://fbref.com/en/squads/e0652b02/2024-2025/Juventus-Stats"
2025,"Juventus","Serie A","opponent",29,38,15648,13854,1755,505,28,83,679,677,172,89,57,2,12602,39,315,"https://fbref.com/en/squads/e0652b02/2024-2025/Juventus-Stats"
2025,"Las Palmas","La Liga","team",34,38,18209,16234,1916,558,49,117,674,782,160,54,72,4,14352,59,321,"https://fbref.com/en/squads/0049d422/2024-2025/Las-Palmas-Stats"
2025,"Las Palmas","La Liga","opponent",34,38,17854,15927,1828,472,69,118,740,812,198,86,63,3,14104,99,350,"https://fbref.com/en/squads/0049d422/2024-2025/Las-Palmas-Stats"
2025,"Lazio","Serie A","team",27,38,19521,17715,1760,522,72,118,864,670,229,123,57,0,16400,46,288,"https://fbref.com/en/squads/7213da33/2024-2025/Lazio-Stats"
2025,"Lazio","Serie A","opponent",27,38,16062,14421,1607,449,30,94,655,606,168,74,68,0,13007,34,291,"https://fbref.com/en/squads/7213da33/2024-2025/Lazio-Stats"
2025,"Le Havre","Ligue 1","team",31,34,14115,12577,1488,442,24,82,695,572,131,89,31,0,11125,50,274,"https://fbref.com/en/squads/5c2737db/2024-2025/Le-Havre-Stats"
2025,"Le Havre","Ligue 1","opponent",31,34,18901,17311,1546,413,59,84,687,645,186,84,75,1,15963,44,285,"https://fbref.com/en/squads/5c2737db/2024-2025/Le-Havre-Stats"
2025,"Lecce","Serie A","team",31,38,15087,13201,1834,507,36,84,628,754,165,64,78,0,11490,52,301,"https://fbref.com/en/squads/ffcbe334/2024-2025/Lecce-Stats"
2025,"Lecce","Serie A","opponent",31,38,19450,17577,1792,486,51,103,775,732,229,87,69,0,15740,81,329,"https://fbref.com/en/squads/ffcbe334/2024-2025/Lecce-Stats"
2025,"Leganés","La Liga","team",26,38,14840,13035,1721,500,48,91,495,653,113,46,46,0,11207,84,252,"https://fbref.com/en/squads/7c6f2c78/2024-2025/Leganes-Stats"
2025,"Leganés","La Liga","opponent",26,38,20203,18149,2007,568,52,128,879,865,242,101,101,2,16312,47,335,"https://fbref.com/en/squads/7c6f2c78/2024-2025/Leganes-Stats"
2025,"Leicester City","Premier League","team",32,38,17486,15728,1695,449,52,47,621,664,139,86,29,4,13945,63,319,"https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"
2025,"Leicester City","Premier League","opponent",32,38,21079,19351,1667,453,60,133,751,686,230,130,48,1,17576,61,363,"https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"
2025,"Lens","Ligue 1","team",33,34,18173,16605,1484,396,59,78,706,628,186,87,71,0,14837,84,346,"https://fbref.com/en/squads/fd4e0f7d/2024-2025/Lens-Stats"
2025,"Lens","Ligue 1","opponent",33,34,15716,14079,1605,554,37,51,473,602,127,52,36,0,12550,32,307,"https://fbref.com/en/squads/fd4e0f7d/2024-2025/Lens-Stats"
2025,"Leverkusen","Bundesliga","team",23,34,21589,19979,1546,409,67,114,735,622,216,115,47,0,18301,64,320,"https://fbref.com/en/squads/c7a9f859/2024-2025/Bayer-Leverkusen-Stats"
2025,"Leverkusen","Bundesliga","opponent",23,34,14768,13319,1386,368,39,63,443,533,116,61,45,1,11597,63,255,"https://fbref.com/en/squads/c7a9f859/2024-2025/Bayer-Leverkusen-Stats"
2025,"Lille","Ligue 1","team",27,34,19728,18220,1460,415,42,101,535,602,168,50,70,1,16765,48,308,"https://fbref.com/en/squads/cb188c0c/2024-2025/Lille-Stats"
