"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected"
"La Liga","M","ESP",2025,"Alavés","team",29,38,38,393,123,31.3,10.34,3.24,0.07,0.24,17.8,10,9,11,42.8,34.1,0.09,-4.8,-5.1
"La Liga","M","ESP",2025,"Athletic Club","team",31,38,53,462,148,32,12.16,3.89,0.11,0.34,17.4,8,3,6,53,48.2,0.11,0,1.8
"La Liga","M","ESP",2025,"Atlético Madrid","team",24,38,68,463,174,37.6,12.18,4.58,0.13,0.36,17,13,6,7,64.6,59.3,0.13,3.4,2.7
"La Liga","M","ESP",2025,"Barcelona","team",28,38,99,670,240,35.8,17.63,6.32,0.14,0.38,17.1,27,7,8,91.5,85.2,0.13,7.5,6.8
"La Liga","M","ESP",2025,"Betis","team",36,38,55,518,176,34,13.63,4.63,0.09,0.27,18.1,14,7,10,54.6,46.9,0.09,0.4,1.1
"La Liga","M","ESP",2025,"Celta Vigo","team",30,38,58,442,167,37.8,11.63,4.39,0.11,0.3,17.9,19,8,9,54.2,47.3,0.11,3.8,2.7
"La Liga","M","ESP",2025,"Espanyol","team",27,38,38,351,98,27.9,9.24,2.58,0.09,0.34,18.4,15,5,5,34.4,30.5,0.09,3.6,2.5
"La Liga","M","ESP",2025,"Getafe","team",30,38,34,430,122,28.4,11.32,3.21,0.07,0.24,19.4,17,5,5,36.8,33,0.08,-2.8,-4
"La Liga","M","ESP",2025,"Girona","team",30,38,43,397,134,33.8,10.45,3.53,0.1,0.29,17.7,13,4,5,42.5,38.6,0.1,0.5,0.4
"La Liga","M","ESP",2025,"Las Palmas","team",34,38,38,409,134,32.8,10.76,3.53,0.09,0.26,19.2,21,3,4,36.3,33.2,0.08,1.7,1.8
"La Liga","M","ESP",2025,"Leganés","team",26,38,38,345,110,31.9,9.08,2.89,0.1,0.3,20.1,19,5,7,36,30.6,0.09,2,2.4
"La Liga","M","ESP",2025,"Mallorca","team",28,38,34,382,107,28,10.05,2.82,0.08,0.28,16.3,7,4,5,38.8,34.9,0.09,-4.8,-4.9
"La Liga","M","ESP",2025,"Osasuna","team",25,38,46,409,123,30.1,10.76,3.24,0.09,0.3,16.7,9,9,9,44,37.8,0.09,2,-0.8
"La Liga","M","ESP",2025,"Rayo Vallecano","team",26,38,38,514,162,31.5,13.53,4.26,0.07,0.23,19.3,25,0,1,45.4,44.6,0.09,-7.4,-6.6
"La Liga","M","ESP",2025,"Real Madrid","team",30,38,78,621,229,36.9,16.34,6.03,0.11,0.3,18.1,15,10,14,75.3,64.5,0.11,2.7,3.5
"La Liga","M","ESP",2025,"Real Sociedad","team",31,38,34,385,122,31.7,10.13,3.21,0.08,0.25,17.5,10,4,4,42.5,39.3,0.1,-8.5,-9.3
