"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Url"
2025,"Parma","Serie A","team",32,38,12509,15805,79.1,227371,84995,5238,5993,87.4,5643,6511,86.7,1289,2504,51.5,31,29.3,24.5,1.7,316,890,217,59,1059,"https://fbref.com/en/squads/eab4234c/2024-2025/Parma-Stats"
2025,"Parma","Serie A","opponent",32,38,16404,19940,82.3,291222,98437,7039,7856,89.6,7622,8561,89,1435,2574,55.7,42,41.7,34.5,0.3,414,1337,364,124,1761,"https://fbref.com/en/squads/eab4234c/2024-2025/Parma-Stats"
2025,"RB Leipzig","Bundesliga","team",29,34,14698,18207,80.7,247957,90938,6822,7749,88,6428,7472,86,1090,2013,54.1,36,35.6,40,0.4,313,1138,306,52,1353,"https://fbref.com/en/squads/acbb6a5b/2024-2025/RB-Leipzig-Stats"
2025,"RB Leipzig","Bundesliga","opponent",29,34,13082,16691,78.4,229606,87124,5968,6842,87.2,5425,6330,85.7,1308,2485,52.6,35,38.8,49.2,-3.8,367,1007,302,93,1275,"https://fbref.com/en/squads/acbb6a5b/2024-2025/RB-Leipzig-Stats"
2025,"Rayo Vallecano","La Liga","team",26,38,13936,17861,78,247359,94801,6459,7310,88.4,5793,6748,85.8,1401,2920,48,27,36.2,32.2,-9.2,374,1081,242,85,1362,"https://fbref.com/en/squads/98e8af82/2024-2025/Rayo-Vallecano-Stats"
2025,"Rayo Vallecano","La Liga","opponent",26,38,12793,16724,76.5,231656,91987,5660,6481,87.3,5397,6418,84.1,1412,2884,49,33,33,33.7,0,346,1064,274,81,1326,"https://fbref.com/en/squads/98e8af82/2024-2025/Rayo-Vallecano-Stats"
2025,"Real Madrid","La Liga","team",30,38,21356,24221,88.2,356264,110503,10517,11248,93.5,8566,9311,92,1723,2595,66.4,55,54.6,52.2,0.4,501,1773,359,34,1967,"https://fbref.com/en/squads/53a2f082/2024-2025/Real-Madrid-Stats"
2025,"Real Madrid","La Liga","opponent",30,38,12981,15895,81.7,221381,81881,6427,7066,91,4989,5720,87.2,1218,2278,53.5,27,32,27.3,-5,309,1034,223,56,1168,"https://fbref.com/en/squads/53a2f082/2024-2025/Real-Madrid-Stats"
2025,"Real Sociedad","La Liga","team",31,38,14880,18759,79.3,261975,89905,6750,7619,88.6,6360,7434,85.6,1421,2687,52.9,22,30.9,30.7,-8.9,284,1087,242,64,1341,"https://fbref.com/en/squads/e31d1cd9/2024-2025/Real-Sociedad-Stats"
2025,"Real Sociedad","La Liga","opponent",31,38,12635,16415,77,229468,84576,5620,6418,87.6,5326,6305,84.5,1400,2797,50.1,32,29,31.9,3,321,1061,236,68,1141,"https://fbref.com/en/squads/e31d1cd9/2024-2025/Real-Sociedad-Stats"
2025,"Reims","Ligue 1","team",34,34,11657,14602,79.8,203427,75490,5338,6018,88.7,4868,5628,86.5,1110,2150,51.6,19,26.5,28.4,-7.5,276,861,224,80,1156,"https://fbref.com/en/squads/7fdd64e0/2024-2025/Reims-Stats"
2025,"Reims","Ligue 1","opponent",34,34,15620,18726,83.4,265583,88621,7076,7779,91,6968,7833,89,1181,2202,53.6,32,40.5,41.6,-8.5,366,1338,360,86,1636,"https://fbref.com/en/squads/7fdd64e0/2024-2025/Reims-Stats"
2025,"Rennes","Ligue 1","team",35,34,13914,16913,82.3,244981,84751,6055,6811,88.9,6276,7138,87.9,1246,2132,58.4,32,29.6,32.5,2.4,318,1083,265,62,1440,"https://fbref.com/en/squads/b3072e00/2024-2025/Rennes-Stats"
2025,"Rennes","Ligue 1","opponent",35,34,13238,16323,81.1,231343,80233,5958,6681,89.2,5754,6546,87.9,1217,2273,53.5,37,33.7,32.5,3.3,291,894,257,67,1144,"https://fbref.com/en/squads/b3072e00/2024-2025/Rennes-Stats"
2025,"Roma","Serie A","team",28,38,17016,20265,84,300183,96685,7364,8133,90.5,7726,8590,89.9,1535,2676,57.4,35,35,32.8,0,391,1302,314,81,1501,"https://fbref.com/en/squads/cf74a709/2024-2025/Roma-Stats"
2025,"Roma","Serie A","opponent",28,38,14165,17333,81.7,256395,88124,5861,6621,88.5,6692,7578,88.3,1355,2425,55.9,21,26.7,24.5,-5.7,323,1065,259,83,1278,"https://fbref.com/en/squads/cf74a709/2024-2025/Roma-Stats"
2025,"Saint-Étienne","Ligue 1","team",32,34,13001,15954,81.5,218182,80494,6224,6913,90,5489,6265,87.6,973,1997,48.7,28,24.6,26.5,3.4,269,1024,237,34,1262,"https://fbref.com/en/squads/d298ef2c/2024-2025/Saint-Etienne-Stats"
2025,"Saint-Étienne","Ligue 1","opponent",32,34,15120,18133,83.4,261034,92489,7107,7856,90.5,6180,7024,88,1405,2283,61.5,41,47.2,46.1,-6.2,390,1117,335,85,1467,"https://fbref.com/en/squads/d298ef2c/2024-2025/Saint-Etienne-Stats"
2025,"Sevilla","La Liga","team",35,38,14432,18057,79.9,252909,88471,6743,7466,90.3,6146,7086,86.7,1267,2706,46.8,32,30.8,24.4,1.2,357,1072,210,60,1193,"https://fbref.com/en/squads/ad2be733/2024-2025/Sevilla-Stats"
