"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Poss","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Url"
2025,"Parma","Serie A","team",32,44.2,38,19903,2706,7204,8455,4468,655,19896,587,249,42.4,276,47,11305,58058,29684,578,416,168,548,297,12339,1049,"https://fbref.com/en/squads/eab4234c/2024-2025/Parma-Stats"
2025,"Parma","Serie A","opponent",32,55.8,38,23755,2179,7107,10907,5980,943,23750,561,242,43.1,242,43.1,14164,77691,43161,822,573,209,524,281,16290,1752,"https://fbref.com/en/squads/eab4234c/2024-2025/Parma-Stats"
2025,"RB Leipzig","Bundesliga","team",29,52.2,34,22396,2257,6793,10962,4856,757,22392,580,261,45,260,44.8,11429,54894,27778,516,392,136,510,312,14621,1346,"https://fbref.com/en/squads/acbb6a5b/2024-2025/RB-Leipzig-Stats"
2025,"RB Leipzig","Bundesliga","opponent",29,47.8,34,20820,2272,6842,9156,4982,889,20817,574,267,46.5,258,44.9,10832,52648,25250,530,354,154,510,285,12947,1256,"https://fbref.com/en/squads/acbb6a5b/2024-2025/RB-Leipzig-Stats"
2025,"Rayo Vallecano","La Liga","team",26,51.7,38,22372,2557,7799,9339,5455,711,22371,647,286,44.2,304,47,12068,58402,29156,589,431,143,630,327,13833,1346,"https://fbref.com/en/squads/98e8af82/2024-2025/Rayo-Vallecano-Stats"
2025,"Rayo Vallecano","La Liga","opponent",26,48.3,38,21249,2413,7416,9160,4906,774,21241,740,355,48,309,41.8,10729,60783,31944,613,434,161,630,318,12661,1318,"https://fbref.com/en/squads/98e8af82/2024-2025/Rayo-Vallecano-Stats"
2025,"Real Madrid","La Liga","team",30,60.4,38,28252,2392,7662,12794,8048,1181,28238,878,412,46.9,384,43.7,17893,93355,50356,983,696,364,528,290,21223,1953,"https://fbref.com/en/squads/53a2f082/2024-2025/Real-Madrid-Stats"
2025,"Real Madrid","La Liga","opponent",30,39.6,38,19910,2621,7172,8356,4578,643,19907,521,222,42.6,264,50.7,11509,60630,31994,648,470,160,476,322,12876,1155,"https://fbref.com/en/squads/53a2f082/2024-2025/Real-Madrid-Stats"
2025,"Real Sociedad","La Liga","team",31,53.8,38,23027,2275,7208,10770,5243,747,23023,659,295,44.8,307,46.6,12533,67115,34084,645,417,163,603,297,14716,1325,"https://fbref.com/en/squads/e31d1cd9/2024-2025/Real-Sociedad-Stats"
2025,"Real Sociedad","La Liga","opponent",31,46.2,38,20816,2394,7200,8796,5046,752,20809,643,271,42.1,308,47.9,10345,51781,25476,538,384,168,618,341,12516,1128,"https://fbref.com/en/squads/e31d1cd9/2024-2025/Real-Sociedad-Stats"
2025,"Reims","Ligue 1","team",34,44.1,34,18663,2437,6983,7699,4213,649,18661,629,279,44.4,312,49.6,9968,59074,30711,586,420,139,576,304,11542,1140,"https://fbref.com/en/squads/7fdd64e0/2024-2025/Reims-Stats"
2025,"Reims","Ligue 1","opponent",34,55.9,34,22485,1994,6180,10380,6116,936,22480,575,266,46.3,285,49.6,12935,67208,36523,663,521,187,497,273,15499,1620,"https://fbref.com/en/squads/7fdd64e0/2024-2025/Reims-Stats"
2025,"Rennes","Ligue 1","team",35,50.9,34,20688,1999,6281,9624,4970,763,20680,643,270,42,327,50.9,11438,61463,31644,663,429,186,508,344,13788,1421,"https://fbref.com/en/squads/b3072e00/2024-2025/Rennes-Stats"
2025,"Rennes","Ligue 1","opponent",35,49.1,34,20140,2247,6943,9019,4349,697,20134,543,214,39.4,296,54.5,11095,55664,28097,575,365,162,499,300,13134,1136,"https://fbref.com/en/squads/b3072e00/2024-2025/Rennes-Stats"
2025,"Roma","Serie A","team",28,53.9,38,24126,2375,7151,11355,5819,861,24118,563,210,37.3,266,47.2,14077,72568,36058,691,579,162,545,283,16857,1488,"https://fbref.com/en/squads/cf74a709/2024-2025/Roma-Stats"
2025,"Roma","Serie A","opponent",28,46.1,38,21195,2530,7476,9356,4564,677,21191,487,215,44.1,224,46,11917,65549,33211,668,479,161,538,327,14024,1266,"https://fbref.com/en/squads/cf74a709/2024-2025/Roma-Stats"
2025,"Saint-Étienne","Ligue 1","team",32,47.1,34,19848,2437,6917,8493,4607,600,19844,558,239,42.8,294,52.7,10318,51180,26053,529,334,138,550,309,12920,1254,"https://fbref.com/en/squads/d298ef2c/2024-2025/Saint-Etienne-Stats"
2025,"Saint-Étienne","Ligue 1","opponent",32,52.9,34,21882,1767,6492,10179,5407,980,21867,627,298,47.5,296,47.2,12700,64548,34226,714,481,235,532,285,15019,1453,"https://fbref.com/en/squads/d298ef2c/2024-2025/Saint-Etienne-Stats"
2025,"Sevilla","La Liga","team",35,50.5,38,22465,2404,8057,9800,4813,669,22462,720,339,47.1,320,44.4,11147,58366,29786,594,397,161,624,331,14288,1186,"https://fbref.com/en/squads/ad2be733/2024-2025/Sevilla-Stats"
2025,"Sevilla","La Liga","opponent",35,49.5,38,22206,2259,7100,10193,5095,670,22200,637,251,39.4,312,49,12283,61270,31116,551,423,139,527,336,14188,1249,"https://fbref.com/en/squads/ad2be733/2024-2025/Sevilla-Stats"
2025,"Southampton","Premier League","team",36,48.5,38,22776,3003,8424,9788,4766,688,22774,736,312,42.4,333,45.2,12656,66945,34286,640,460,165,486,355,15394,1118,"https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats"
2025,"Southampton","Premier League","opponent",36,51.5,38,23778,2130,6772,9944,7291,1264,23769,661,304,46,280,42.4,13724,72045,37999,814,548,300,429,372,16411,1635,"https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats"
2025,"St. Pauli","Bundesliga","team",28,44.2,34,19141,2257,6816,8232,4244,648,19139,429,179,41.7,201,46.9,9105,45927,22922,418,326,122,476,262,11611,1057,"https://fbref.com/en/squads/54864664/2024-2025/St-Pauli-Stats"
2025,"St. Pauli","Bundesliga","opponent",28,55.8,34,23319,2172,6856,12047,4560,704,23314,554,245,44.2,266,48,12880,63001,31468,484,352,117,554,271,15848,1374,"https://fbref.com/en/squads/54864664/2024-2025/St-Pauli-Stats"
