"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err","Url"
2025,"Chelsea","Premier League","opponent",29,38,633,368,318,241,74,336,662,50.8,326,435,172,263,286,919,880,42,"https://fbref.com/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"
2025,"Como","Serie A","team",38,38,663,412,301,260,102,303,591,51.3,288,348,91,257,279,942,788,19,"https://fbref.com/en/squads/28c9c3cd/2024-2025/Como-Stats"
2025,"Como","Serie A","opponent",38,38,648,385,260,287,101,288,552,52.2,264,453,139,314,325,973,757,28,"https://fbref.com/en/squads/28c9c3cd/2024-2025/Como-Stats"
2025,"Crystal Palace","Premier League","team",29,38,767,450,374,299,94,324,643,50.4,319,485,144,341,334,1101,1088,19,"https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats"
2025,"Crystal Palace","Premier League","opponent",29,38,580,319,203,264,113,241,450,53.6,209,417,145,272,342,922,874,35,"https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats"
2025,"Dortmund","Bundesliga","team",28,34,523,319,232,196,95,261,492,53,231,375,100,275,249,772,726,18,"https://fbref.com/en/squads/add600ae/2024-2025/Dortmund-Stats"
2025,"Dortmund","Bundesliga","opponent",28,34,641,374,348,235,58,334,675,49.5,341,429,146,283,312,953,908,25,"https://fbref.com/en/squads/add600ae/2024-2025/Dortmund-Stats"
2025,"Eint Frankfurt","Bundesliga","team",26,34,566,341,267,219,80,280,508,55.1,228,425,128,297,287,853,994,26,"https://fbref.com/en/squads/f0ac8ee6/2024-2025/Eintracht-Frankfurt-Stats"
2025,"Eint Frankfurt","Bundesliga","opponent",26,34,534,323,268,185,81,272,565,48.1,293,408,125,283,264,798,793,27,"https://fbref.com/en/squads/f0ac8ee6/2024-2025/Eintracht-Frankfurt-Stats"
2025,"Empoli","Serie A","team",34,38,689,396,314,293,82,309,543,56.9,234,396,136,260,323,1012,1072,21,"https://fbref.com/en/squads/a3d88bd8/2024-2025/Empoli-Stats"
2025,"Empoli","Serie A","opponent",34,38,587,373,271,250,66,238,450,52.9,212,355,110,245,255,842,918,17,"https://fbref.com/en/squads/a3d88bd8/2024-2025/Empoli-Stats"
2025,"Espanyol","La Liga","team",27,38,640,397,380,210,50,310,610,50.8,300,435,155,280,315,955,1131,21,"https://fbref.com/en/squads/a8661628/2024-2025/Espanyol-Stats"
2025,"Espanyol","La Liga","opponent",27,38,507,309,234,209,64,266,487,54.6,221,346,97,249,292,799,773,20,"https://fbref.com/en/squads/a8661628/2024-2025/Espanyol-Stats"
2025,"Everton","Premier League","team",26,38,732,433,366,269,97,338,656,51.5,318,392,138,254,345,1077,1088,25,"https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats"
2025,"Everton","Premier League","opponent",26,38,695,424,322,276,97,305,588,51.9,283,349,103,246,235,930,924,25,"https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats"
2025,"Fiorentina","Serie A","team",34,38,531,313,267,195,69,248,488,50.8,240,353,123,230,275,806,911,17,"https://fbref.com/en/squads/421387cf/2024-2025/Fiorentina-Stats"
2025,"Fiorentina","Serie A","opponent",34,38,560,316,260,222,78,254,524,48.5,270,349,111,238,237,797,770,27,"https://fbref.com/en/squads/421387cf/2024-2025/Fiorentina-Stats"
2025,"Freiburg","Bundesliga","team",26,34,511,317,225,222,64,235,457,51.4,222,400,112,288,276,787,811,21,"https://fbref.com/en/squads/a486e511/2024-2025/Freiburg-Stats"
2025,"Freiburg","Bundesliga","opponent",26,34,496,298,205,211,80,237,452,52.4,215,397,122,275,260,756,916,18,"https://fbref.com/en/squads/a486e511/2024-2025/Freiburg-Stats"
2025,"Fulham","Premier League","team",26,38,679,411,327,259,93,289,565,51.2,276,382,113,269,302,981,914,33,"https://fbref.com/en/squads/fd962109/2024-2025/Fulham-Stats"
2025,"Fulham","Premier League","opponent",26,38,535,306,237,226,72,254,542,46.9,288,423,148,275,336,871,995,27,"https://fbref.com/en/squads/fd962109/2024-2025/Fulham-Stats"
2025,"Genoa","Serie A","team",37,38,672,385,281,287,104,283,566,50,283,422,126,296,308,980,938,15,"https://fbref.com/en/squads/658bf2de/2024-2025/Genoa-Stats"
2025,"Genoa","Serie A","opponent",37,38,549,326,230,255,64,260,447,58.2,187,367,98,269,284,833,854,22,"https://fbref.com/en/squads/658bf2de/2024-2025/Genoa-Stats"
2025,"Getafe","La Liga","team",30,38,645,393,287,278,80,333,665,50.1,332,411,84,327,276,921,1065,15,"https://fbref.com/en/squads/7848bd64/2024-2025/Getafe-Stats"
2025,"Getafe","La Liga","opponent",30,38,669,391,357,248,64,312,577,54.1,265,351,127,224,282,951,1230,22,"https://fbref.com/en/squads/7848bd64/2024-2025/Getafe-Stats"
2025,"Girona","La Liga","team",30,38,569,348,268,219,82,292,557,52.4,265,327,104,223,279,848,722,34,"https://fbref.com/en/squads/9024a00a/2024-2025/Girona-Stats"
2025,"Girona","La Liga","opponent",30,38,588,348,291,199,98,276,567,48.7,291,381,108,273,277,865,911,15,"https://fbref.com/en/squads/9024a00a/2024-2025/Girona-Stats"
2025,"Gladbach","Bundesliga","team",26,34,504,284,278,177,49,240,473,50.7,233,445,166,279,317,821,1067,23,"https://fbref.com/en/squads/32f3ee20/2024-2025/Monchengladbach-Stats"
2025,"Gladbach","Bundesliga","opponent",26,34,500,303,203,222,75,231,437,52.9,206,436,112,324,302,802,787,25,"https://fbref.com/en/squads/32f3ee20/2024-2025/Monchengladbach-Stats"
2025,"Heidenheim","Bundesliga","team",27,34,614,356,322,235,57,294,558,52.7,264,435,109,326,312,926,952,15,"https://fbref.com/en/squads/18d9d2a7/2024-2025/Heidenheim-Stats"
2025,"Heidenheim","Bundesliga","opponent",27,34,490,303,189,231,70,250,482,51.9,232,397,99,298,243,733,813,19,"https://fbref.com/en/squads/18d9d2a7/2024-2025/Heidenheim-Stats"
2025,"Hellas Verona","Serie A","team",32,38,672,434,326,271,75,311,592,52.5,281,393,123,270,329,1001,987,23,"https://fbref.com/en/squads/0e72edf2/2024-2025/Hellas-Verona-Stats"
2025,"Hellas Verona","Serie A","opponent",32,38,487,263,242,179,66,233,461,50.5,228,337,101,236,221,708,734,18,"https://fbref.com/en/squads/0e72edf2/2024-2025/Hellas-Verona-Stats"
2025,"Hoffenheim","Bundesliga","team",35,34,570,336,266,236,68,269,511,52.6,242,450,139,311,291,861,922,22,"https://fbref.com/en/squads/033ea6b8/2024-2025/Hoffenheim-Stats"
2025,"Hoffenheim","Bundesliga","opponent",35,34,531,321,230,232,69,238,472,50.4,234,405,115,290,273,804,1051,13,"https://fbref.com/en/squads/033ea6b8/2024-2025/Hoffenheim-Stats"
2025,"Holstein Kiel","Bundesliga","team",27,34,541,328,292,174,75,277,530,52.3,253,409,155,254,294,835,1126,22,"https://fbref.com/en/squads/2ac661d9/2024-2025/Holstein-Kiel-Stats"
2025,"Holstein Kiel","Bundesliga","opponent",27,34,442,258,154,180,108,200,384,52.1,184,359,90,269,237,679,753,23,"https://fbref.com/en/squads/2ac661d9/2024-2025/Holstein-Kiel-Stats"
