"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Url"
2025,"Lille","Ligue 1","team",27,34,77,2,1,410,376,48,535,271,356,8,4,1,1535,392,350,52.8,"https://fbref.com/en/squads/cb188c0c/2024-2025/Lille-Stats"
2025,"Lille","Ligue 1","opponent",27,34,63,8,0,392,387,55,482,374,364,3,10,0,1437,350,392,47.2,"https://fbref.com/en/squads/cb188c0c/2024-2025/Lille-Stats"
2025,"Liverpool","Premier League","team",24,38,67,3,1,430,359,60,729,299,391,6,2,2,1621,406,368,52.5,"https://fbref.com/en/squads/822bd0ba/2024-2025/Liverpool-Stats"
2025,"Liverpool","Premier League","opponent",24,38,84,2,2,371,419,96,500,320,402,2,9,1,1576,368,406,47.5,"https://fbref.com/en/squads/822bd0ba/2024-2025/Liverpool-Stats"
2025,"Lyon","Ligue 1","team",31,34,60,0,0,407,357,71,598,282,340,6,3,0,1422,305,332,47.9,"https://fbref.com/en/squads/d53c0b06/2024-2025/Lyon-Stats"
2025,"Lyon","Ligue 1","opponent",31,34,71,3,2,387,387,54,549,319,345,3,10,3,1425,332,305,52.1,"https://fbref.com/en/squads/d53c0b06/2024-2025/Lyon-Stats"
2025,"Mainz 05","Bundesliga","team",25,34,71,5,3,408,329,78,658,352,325,3,5,0,1545,618,697,47,"https://fbref.com/en/squads/a224b06a/2024-2025/Mainz-05-Stats"
2025,"Mainz 05","Bundesliga","opponent",25,34,83,6,2,349,399,49,656,303,349,5,4,2,1452,697,618,53,"https://fbref.com/en/squads/a224b06a/2024-2025/Mainz-05-Stats"
2025,"Mallorca","La Liga","team",28,38,81,6,1,466,432,78,735,326,361,4,3,1,1523,672,609,52.5,"https://fbref.com/en/squads/2aa12281/2024-2025/Mallorca-Stats"
2025,"Mallorca","La Liga","opponent",28,38,70,2,0,451,440,41,821,272,402,1,5,1,1546,609,672,47.5,"https://fbref.com/en/squads/2aa12281/2024-2025/Mallorca-Stats"
2025,"Manchester City","Premier League","team",30,38,59,2,1,287,382,45,659,229,299,4,4,2,1437,310,334,48.1,"https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"
2025,"Manchester City","Premier League","opponent",30,38,88,2,1,387,276,85,455,310,399,4,4,1,1319,334,310,51.9,"https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"
2025,"Manchester Utd","Premier League","team",31,38,86,3,1,403,371,69,630,358,493,4,4,2,1736,486,488,49.9,"https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats"
2025,"Manchester Utd","Premier League","opponent",31,38,71,3,0,385,387,57,598,325,414,3,4,2,1690,488,486,50.1,"https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats"
2025,"Marseille","Ligue 1","team",32,34,64,6,4,394,371,53,609,280,358,5,6,2,1485,312,249,55.6,"https://fbref.com/en/squads/5725cc7b/2024-2025/Marseille-Stats"
2025,"Marseille","Ligue 1","opponent",32,34,61,3,0,390,372,92,385,335,372,3,10,4,1452,249,312,44.4,"https://fbref.com/en/squads/5725cc7b/2024-2025/Marseille-Stats"
2025,"Milan","Serie A","team",35,38,70,6,1,415,428,60,634,234,349,7,2,3,1397,434,391,52.6,"https://fbref.com/en/squads/dc56fe14/2024-2025/Milan-Stats"
2025,"Milan","Serie A","opponent",35,38,75,3,1,447,395,95,590,291,339,2,8,2,1348,391,434,47.4,"https://fbref.com/en/squads/dc56fe14/2024-2025/Milan-Stats"
2025,"Monaco","Ligue 1","team",28,34,60,4,2,462,444,69,563,357,429,3,3,0,1763,426,421,50.3,"https://fbref.com/en/squads/fd6114db/2024-2025/Monaco-Stats"
2025,"Monaco","Ligue 1","opponent",28,34,70,3,1,470,436,49,498,368,389,1,7,0,1624,421,426,49.7,"https://fbref.com/en/squads/fd6114db/2024-2025/Monaco-Stats"
2025,"Montpellier","Ligue 1","team",35,34,87,7,2,427,438,65,646,273,389,3,9,3,1349,374,442,45.8,"https://fbref.com/en/squads/281b0e73/2024-2025/Montpellier-Stats"
2025,"Montpellier","Ligue 1","opponent",35,34,70,2,1,463,399,38,564,280,366,6,4,0,1412,442,374,54.2,"https://fbref.com/en/squads/281b0e73/2024-2025/Montpellier-Stats"
2025,"Monza","Serie A","team",36,38,90,3,2,512,529,54,656,305,315,0,4,3,1299,567,605,48.4,"https://fbref.com/en/squads/21680aa4/2024-2025/Monza-Stats"
2025,"Monza","Serie A","opponent",36,38,63,2,1,564,481,41,680,225,336,4,3,1,1505,605,567,51.6,"https://fbref.com/en/squads/21680aa4/2024-2025/Monza-Stats"
2025,"Nantes","Ligue 1","team",30,34,71,4,0,413,389,31,611,283,376,3,8,3,1289,426,439,49.2,"https://fbref.com/en/squads/d7a486cd/2024-2025/Nantes-Stats"
2025,"Nantes","Ligue 1","opponent",30,34,55,5,1,409,393,42,740,221,350,6,5,0,1422,439,426,50.8,"https://fbref.com/en/squads/d7a486cd/2024-2025/Nantes-Stats"
2025,"Napoli","Serie A","team",27,38,47,0,0,415,445,55,681,270,323,4,4,2,1435,530,460,53.5,"https://fbref.com/en/squads/d48ad4ff/2024-2025/Napoli-Stats"
2025,"Napoli","Serie A","opponent",27,38,72,1,1,470,392,39,577,330,366,3,5,3,1445,460,530,46.5,"https://fbref.com/en/squads/d48ad4ff/2024-2025/Napoli-Stats"
