"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
2025,"Lille","Ligue 1","team",1,34,34,3060,34,36,1.06,126,91,74.6,17,9,8,11,32.4,4,4,0,0,0,"https://fbref.com/en/squads/cb188c0c/2024-2025/Lille-Stats"
2025,"Lille","Ligue 1","opponent",1,34,34,3060,34,52,1.53,164,109,72.6,8,9,17,5,14.7,10,7,3,0,30,"https://fbref.com/en/squads/cb188c0c/2024-2025/Lille-Stats"
2025,"Liverpool","Premier League","team",3,38,38,3420,38,41,1.08,138,98,71,25,9,4,14,36.8,2,1,1,0,50,"https://fbref.com/en/squads/822bd0ba/2024-2025/Liverpool-Stats"
2025,"Liverpool","Premier League","opponent",3,38,38,3420,38,86,2.26,224,139,65.6,4,9,25,1,2.6,9,9,0,0,0,"https://fbref.com/en/squads/822bd0ba/2024-2025/Liverpool-Stats"
2025,"Lyon","Ligue 1","team",2,34,34,3060,34,46,1.35,166,120,74.1,17,6,11,10,29.4,3,3,0,0,0,"https://fbref.com/en/squads/d53c0b06/2024-2025/Lyon-Stats"
2025,"Lyon","Ligue 1","opponent",2,34,34,3060,34,65,1.91,183,119,68.9,11,6,17,5,14.7,10,8,2,0,20,"https://fbref.com/en/squads/d53c0b06/2024-2025/Lyon-Stats"
2025,"Mainz 05","Bundesliga","team",2,34,34,3060,34,43,1.26,150,106,74,14,10,10,9,26.5,5,4,1,0,20,"https://fbref.com/en/squads/a224b06a/2024-2025/Mainz-05-Stats"
2025,"Mainz 05","Bundesliga","opponent",2,34,34,3060,34,55,1.62,146,93,65.1,10,10,14,8,23.5,4,4,0,0,0,"https://fbref.com/en/squads/a224b06a/2024-2025/Mainz-05-Stats"
2025,"Mallorca","La Liga","team",2,38,38,3420,38,44,1.16,165,122,75.2,13,9,16,9,23.7,3,3,0,0,0,"https://fbref.com/en/squads/2aa12281/2024-2025/Mallorca-Stats"
2025,"Mallorca","La Liga","opponent",2,38,38,3420,38,35,0.92,112,77,72.3,16,9,13,14,36.8,5,4,1,0,20,"https://fbref.com/en/squads/2aa12281/2024-2025/Mallorca-Stats"
2025,"Manchester City","Premier League","team",2,38,38,3420,38,44,1.16,128,86,68.8,21,8,9,13,34.2,4,4,0,0,0,"https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"
2025,"Manchester City","Premier League","opponent",2,38,38,3420,38,72,1.89,212,140,67.5,9,8,21,6,15.8,4,3,1,0,25,"https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"
2025,"Manchester Utd","Premier League","team",2,38,38,3420,38,54,1.42,149,96,65.8,11,9,18,10,26.3,4,3,1,0,25,"https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats"
2025,"Manchester Utd","Premier League","opponent",2,38,38,3420,38,44,1.16,172,130,76.7,18,9,11,15,39.5,4,4,0,0,0,"https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats"
2025,"Marseille","Ligue 1","team",1,34,34,3060,34,47,1.38,135,87,67.4,20,5,9,5,14.7,6,3,3,0,50,"https://fbref.com/en/squads/5725cc7b/2024-2025/Marseille-Stats"
2025,"Marseille","Ligue 1","opponent",1,34,34,3060,34,74,2.18,195,123,66.2,9,5,20,6,17.6,10,8,2,0,20,"https://fbref.com/en/squads/5725cc7b/2024-2025/Marseille-Stats"
2025,"Milan","Serie A","team",2,38,38,3420,38,43,1.13,142,101,70.4,18,9,11,13,34.2,2,1,1,0,50,"https://fbref.com/en/squads/dc56fe14/2024-2025/Milan-Stats"
2025,"Milan","Serie A","opponent",2,38,38,3420,38,61,1.61,193,130,70.5,11,9,18,5,13.2,8,4,4,0,50,"https://fbref.com/en/squads/dc56fe14/2024-2025/Milan-Stats"
2025,"Monaco","Ligue 1","team",2,34,34,3060,34,41,1.21,128,87,70.3,18,7,9,11,32.4,3,3,0,0,0,"https://fbref.com/en/squads/fd6114db/2024-2025/Monaco-Stats"
2025,"Monaco","Ligue 1","opponent",2,34,34,3060,34,63,1.85,187,123,69.5,9,7,18,5,14.7,7,6,1,0,14.3,"https://fbref.com/en/squads/fd6114db/2024-2025/Monaco-Stats"
2025,"Montpellier","Ligue 1","team",2,34,34,3060,34,79,2.32,194,117,63.4,4,4,26,1,2.9,9,8,1,0,11.1,"https://fbref.com/en/squads/281b0e73/2024-2025/Montpellier-Stats"
2025,"Montpellier","Ligue 1","opponent",2,34,34,3060,34,23,0.68,115,91,82.6,26,4,4,20,58.8,4,3,1,0,25,"https://fbref.com/en/squads/281b0e73/2024-2025/Montpellier-Stats"
2025,"Monza","Serie A","team",3,38,38,3420,38,69,1.82,183,115,63.4,3,9,26,3,7.9,4,2,2,0,50,"https://fbref.com/en/squads/21680aa4/2024-2025/Monza-Stats"
2025,"Monza","Serie A","opponent",3,38,38,3420,38,28,0.74,102,75,75.5,26,9,3,17,44.7,3,3,0,0,0,"https://fbref.com/en/squads/21680aa4/2024-2025/Monza-Stats"
2025,"Nantes","Ligue 1","team",3,34,34,3060,34,52,1.53,148,99,69.6,8,12,14,6,17.6,8,7,0,1,0,"https://fbref.com/en/squads/d7a486cd/2024-2025/Nantes-Stats"
2025,"Nantes","Ligue 1","opponent",3,34,34,3060,34,39,1.15,124,85,72.6,14,12,8,8,23.5,5,5,0,0,0,"https://fbref.com/en/squads/d7a486cd/2024-2025/Nantes-Stats"
2025,"Napoli","Serie A","team",3,38,38,3420,38,27,0.71,96,69,72.9,24,10,4,19,50,4,1,2,1,66.7,"https://fbref.com/en/squads/d48ad4ff/2024-2025/Napoli-Stats"
2025,"Napoli","Serie A","opponent",3,38,38,3330,38,59,1.59,155,98,64.5,4,10,24,6,15.8,5,4,1,0,20,"https://fbref.com/en/squads/d48ad4ff/2024-2025/Napoli-Stats"
2025,"Newcastle Utd","Premier League","team",2,38,38,3420,38,47,1.24,161,115,71.4,20,6,12,13,34.2,2,1,1,0,50,"https://fbref.com/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats"
2025,"Newcastle Utd","Premier League","opponent",2,38,38,3420,38,68,1.79,169,102,62.7,12,6,20,7,18.4,6,5,1,0,16.7,"https://fbref.com/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats"
2025,"Nice","Ligue 1","team",1,34,34,3060,34,41,1.21,161,120,75.8,17,9,8,8,23.5,3,2,1,0,33.3,"https://fbref.com/en/squads/132ebc33/2024-2025/Nice-Stats"
