"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","Url"
2025,"Real Madrid","La Liga","opponent",3,38,78,10,2,8,0,67.5,0.24,-10.5,-0.28,174,521,33.4,810,149,44.1,39.5,315,52.1,42.1,437,25,5.7,52,1.37,15.3,"https://fbref.com/en/squads/53a2f082/2024-2025/Real-Madrid-Stats"
2025,"Real Sociedad","La Liga","team",2,38,46,5,0,5,0,41.5,0.26,-4.5,-0.12,187,493,37.9,1072,122,31.8,28.3,271,56.1,44.8,467,30,6.4,43,1.13,16.8,"https://fbref.com/en/squads/e31d1cd9/2024-2025/Real-Sociedad-Stats"
2025,"Real Sociedad","La Liga","opponent",2,38,35,4,1,3,1,33,0.24,-1,-0.03,209,636,32.9,965,118,48.5,39.8,302,55.6,44.6,552,30,5.4,38,1,15,"https://fbref.com/en/squads/e31d1cd9/2024-2025/Real-Sociedad-Stats"
2025,"Reims","Ligue 1","team",1,34,47,4,1,8,0,61.6,0.33,14.6,0.43,154,477,32.3,928,153,36.6,33.3,285,48.1,37.3,554,31,5.6,42,1.24,14.6,"https://fbref.com/en/squads/7fdd64e0/2024-2025/Reims-Stats"
2025,"Reims","Ligue 1","opponent",1,34,33,1,0,5,1,28.9,0.26,-3.1,-0.09,118,344,34.3,828,162,31.5,32.4,237,35,32.4,478,28,5.9,37,1.09,15.2,"https://fbref.com/en/squads/7fdd64e0/2024-2025/Reims-Stats"
2025,"Rennes","Ligue 1","team",3,34,50,3,1,6,2,46.2,0.31,-1.8,-0.05,119,361,33,970,132,29.3,23.8,219,35.2,31.5,402,23,5.7,37,1.09,28,"https://fbref.com/en/squads/b3072e00/2024-2025/Rennes-Stats"
2025,"Rennes","Ligue 1","opponent",3,34,51,5,1,5,0,53.3,0.3,2.3,0.07,147,456,32.2,992,147,35.8,34.7,215,47,36,458,23,5,31,0.91,13.8,"https://fbref.com/en/squads/b3072e00/2024-2025/Rennes-Stats"
2025,"Roma","Serie A","team",1,38,35,4,0,4,1,42.5,0.26,8.5,0.22,124,413,30,1195,170,25.1,30.6,263,43,37.3,495,30,6.1,33,0.87,13.7,"https://fbref.com/en/squads/cf74a709/2024-2025/Roma-Stats"
2025,"Roma","Serie A","opponent",1,38,56,8,2,8,1,51.7,0.27,-3.3,-0.09,166,488,34,1110,173,35.9,34.5,279,32.3,32.1,498,27,5.4,35,0.92,13.6,"https://fbref.com/en/squads/cf74a709/2024-2025/Roma-Stats"
2025,"Saint-Étienne","Ligue 1","team",1,34,77,13,0,4,2,73.5,0.3,-1.5,-0.04,131,486,27,919,145,41,34.7,264,41.3,33.6,510,24,4.7,33,0.97,14,"https://fbref.com/en/squads/d298ef2c/2024-2025/Saint-Etienne-Stats"
