Player,KP,PrgP,Cmp_percent_Total,Pos,xA_Expected,Final_Third,PPA,xAG,Succ_Take,PrgC_Carries,CPA_Carries,Final_Third_Carries,PrgR_Receiving,Rec_Receiving,TklW_Tackles,Int,Min_Playing.Time,SCA90_SCA,PassLive_GCA,GCA90_GCA,Sh_per_90_Standard,SoT_per_90_Standard,xG_Expected,npxG_Expected,G_minus_xG_Expected,Recov,TB_Pass,Att,xG_per90,npXG_per90,Sh_per90,SoT_per90,SCA_per90,GCA_per90,PassLive_SCA_per90,TB_per90,KP_per90,PrgP_per90,PPA_per90,F3P_per90,Succ_Take_per90,PrgC_per90,CPA_per90,F3C_per90,TklW_per90,Recov_per90,PrgR_per90,Rec_per90,xA_per90,xAG_per90,Cluster,Style
Esteban Lepaul,7,20,67.1,FW,1.7,13,7,0.8,6,26,10,15,68,348,6,4,1629.0,1.22,1,0.06,2.27,0.94,5.1,5.1,3.9,45,1,359,0.281767955801105,0.281767955801105,2.27,0.94,1.22,0.06,0.055248618784530384,0.055248618784530384,0.3867403314917127,1.1049723756906078,0.3867403314917127,0.7182320441988951,0.3314917127071823,1.4364640883977902,0.5524861878453039,0.8287292817679559,0.3314917127071823,2.4861878453038675,3.756906077348066,19.226519337016576,0.09392265193370167,0.044198895027624314,8,Peripheral Forward
Farid El Melali,25,43,69.9,FW,3.0,18,14,3.1,52,62,31,39,113,517,16,16,1893.0,3.18,3,0.52,2.19,0.67,3.6,3.6,-1.6,100,0,532,0.1711568938193344,0.1711568938193344,2.19,0.67,3.18,0.52,0.14263074484944532,0.0,1.1885895404120443,2.0443740095087164,0.6656101426307449,0.8557844690966719,2.472266244057052,2.94770206022187,1.473851030110935,1.8541996830427894,0.7606973058637084,4.754358161648177,5.372424722662441,24.580031695721075,0.14263074484944532,0.1473851030110935,3,Link Play Forward
Ibrahima Niane,9,9,68.4,FW,0.4,13,2,1.0,6,19,8,15,50,230,3,2,943.0,2.0,1,0.38,2.77,0.95,5.7,4.9,-2.7,32,1,190,0.5440084835630965,0.46765641569459176,2.77,0.95,2.0,0.38,0.09544008483563098,0.09544008483563098,0.8589607635206787,0.8589607635206787,0.19088016967126195,1.2407211028632026,0.5726405090137858,1.8133616118769884,0.7635206786850478,1.4316012725344642,0.2863202545068929,3.054082714740191,4.7720042417815485,21.95121951219512,0.03817603393425239,0.09544008483563098,0,Support Forward
Lilian Raolisoa,14,47,69.5,"DF,FW",1.7,31,16,2.0,23,33,3,31,62,435,24,15,1318.0,2.19,2,0.27,0.96,0.07,0.7,0.7,-0.7,76,4,564,0.047799696509863425,0.047799696509863425,0.96,0.07,2.19,0.27,0.13657056145675267,0.27314112291350534,0.9559939301972686,3.2094081942336876,1.0925644916540214,2.1168437025796663,1.5705614567526556,2.2534142640364188,0.20485584218512898,2.1168437025796663,1.6388467374810318,5.1896813353566005,4.2336874051593325,29.704097116843705,0.11608497723823975,0.13657056145675267,6,Pressing Forward
Kai Havertz,17,61,78.4,"FW,MF",1.7,27,9,2.4,9,35,18,23,113,584,9,6,1874.0,2.02,2,0.14,2.55,1.01,9.5,9.5,-0.5,41,1,519,0.45624332977588045,0.45624332977588045,2.55,1.01,2.02,0.14,0.096051227321238,0.048025613660619,0.816435432230523,2.929562433297759,0.43223052294557096,1.2966915688367129,0.43223052294557096,1.6808964781216649,0.8644610458911419,1.1045891141942368,0.43223052294557096,1.969050160085379,5.426894343649947,28.046958377801495,0.0816435432230523,0.11526147278548558,0,Support Forward
Gabriel Jesus,8,19,76.8,FW,0.5,10,9,0.7,9,15,11,6,57,217,6,4,608.0,2.66,1,0.59,2.96,1.04,3.0,3.0,0.0,28,1,203,0.444078947368421,0.444078947368421,2.96,1.04,2.66,0.59,0.14802631578947367,0.14802631578947367,1.1842105263157894,2.8125,1.332236842105263,1.4802631578947367,1.332236842105263,2.2203947368421053,1.6282894736842106,0.888157894736842,0.888157894736842,4.144736842105263,8.4375,32.12171052631579,0.07401315789473684,0.10361842105263157,4,Secondary Creator
Gabriel Martinelli,40,52,71.4,"FW,MF",4.7,11,37,5.0,33,124,64,33,289,752,15,5,2291.0,2.91,4,0.27,2.16,0.94,7.4,7.4,0.6,78,5,699,0.29070274989087735,0.29070274989087735,2.16,0.94,2.91,0.27,0.15713662156263639,0.19642077695329552,1.5713662156263641,2.0427760803142734,1.4535137494543866,0.4321257092972501,1.2963771278917504,4.871235268441729,2.514185945002182,1.2963771278917504,0.5892623308598864,3.0641641204714096,11.353120907900479,29.541684853775642,0.18463553033609775,0.19642077695329552,3,Link Play Forward
Mikel Merino,17,69,78.2,"MF,FW",1.2,40,24,2.0,9,11,4,13,94,504,28,15,1586.0,2.44,3,0.23,2.16,0.74,5.9,5.9,1.1,86,5,577,0.3348045397225725,0.3348045397225725,2.16,0.74,2.44,0.23,0.17023959646910466,0.2837326607818411,0.9646910466582598,3.9155107187894074,1.3619167717528373,2.269861286254729,0.5107187894073141,0.6242118537200505,0.22698612862547288,0.7377049180327869,1.5889029003783104,4.8802017654476675,5.334174022698613,28.600252206809586,0.06809583858764187,0.11349306431273644,6,Pressing Forward
Ethan Nwaneri,16,33,80.5,"FW,MF",1.8,17,16,1.2,37,46,17,25,113,398,7,2,895.0,2.91,3,0.3,2.41,0.91,1.2,1.2,2.8,34,3,425,0.12067039106145251,0.12067039106145251,2.41,0.91,2.91,0.3,0.3016759776536313,0.3016759776536313,1.6089385474860334,3.3184357541899443,1.6089385474860334,1.7094972067039107,3.7206703910614523,4.625698324022347,1.7094972067039107,2.513966480446927,0.7039106145251397,3.4189944134078214,11.363128491620111,40.022346368715084,0.18100558659217877,0.12067039106145251,3,Link Play Forward
Bukayo Saka,58,70,75.5,"FW,MF",7.8,15,38,7.6,41,96,51,32,255,711,15,3,1729.0,6.09,14,1.2,3.44,1.15,6.8,6.0,-0.8,70,4,731,0.3539618276460382,0.31231925968768076,3.44,1.15,6.09,1.2,0.728744939271255,0.20821283979178715,3.019086176980914,3.6437246963562755,1.978021978021978,0.7807981492192019,2.1341816078658185,4.997108155002892,2.6547137073452864,1.6657027183342972,0.7807981492192019,3.6437246963562755,13.273568536726431,37.00983227299017,0.406015037593985,0.3956043956043956,2,Elite Creator
